feature,coefficient,abs_coefficient
IN_discount_pct_display,0.1788591729705833,0.1788591729705833
US_discount_pct_display,0.12891089703030045,0.12891089703030045
Savings_USD,0.038986766468305734,0.038986766468305734
US_price_original_usd,-0.024935182805033807,0.024935182805033807
IN_price_current_usd,0.015238091428132424,0.015238091428132424
IN_price_current_inr,0.01134141879354915,0.01134141879354915
IN_discount_pct_calc,0.0011205688624692086,0.0011205688624692086
date_3/22/26,-0.0010827360750472227,0.0010827360750472227
date_2026-03-22,0.0010827360750472225,0.0010827360750472225
made_in_Morocco,0.0008592854218127163,0.0008592854218127163
made_in_Pakistan,-0.0006432555705454058,0.0006432555705454058
Source File_comparison_bags,0.0005000737332850724,0.0005000737332850724
colour_from_title_Ecru,0.0004850747652115074,0.0004850747652115074
made_in_China,0.0004814793264695281,0.0004814793264695281
made_in_Bangladesh,-0.0004810029181151384,0.0004810029181151384
made_in_Turkey,0.00038199106720272053,0.00038199106720272053
Source File_comparison_trousers,-0.00037733666640890504,0.00037733666640890504
Category_WOMAN,-0.00036333893785724466,0.00036333893785724466
Category_GENERAL,0.0003633389378572445,0.0003633389378572445
materials_text_Composition: 100% polyester | 100% polyester | 100% RCS-certified recycled polyester,0.0003218821318467406,0.0003218821318467406
IN_on_sale_False,-0.0003164751976988886,0.0003164751976988886
IN_on_sale_True,0.0003164751976988886,0.0003164751976988886
made_in_Cambodia,-0.0003156399751891868,0.0003156399751891868
made_in_Vietnam,-0.00031030534113060074,0.00031030534113060074
colour_from_title_Dark pink,-0.00030486267136382183,0.00030486267136382183
Source File_comparison_knitwear,-0.0002983485736691604,0.0002983485736691604
colour_from_title_Brown,0.0002836567544998137,0.0002836567544998137
"materials_text_Composition: 96% cotton, 4% elastane | 96% cotton | 96% OCS certified organically grown cotton",-0.00027822830335571126,0.00027822830335571126
IN_price_original_inr,-0.00026268926217228657,0.00026268926217228657
Source File_comparison_dresses,0.00024607671921991807,0.00024607671921991807
materials_text_100% polyester | 100% RCS-certified recycled polyester,0.00023468821338770831,0.00023468821338770831
Source File_comparison_jeans,0.0002303024246537643,0.0002303024246537643
colour_from_title_Oyster-white,0.00022251358792632593,0.00022251358792632593
colour_from_title_Blue / White,-0.0002162906924770374,0.0002162906924770374
"materials_text_Composition: 90% modal, 10% polyester | 10% polyester",0.00020862720435702319,0.00020862720435702319
made_in_Spain,0.00020704716607572,0.00020704716607572
name_PLEATED LACE DRESS ZW COLLECTION - Ecru | ZARA United States,0.00020456319853732715,0.00020456319853732715
colour_from_title_Blue / Indigo,-0.00020252159907182524,0.00020252159907182524
name_PATCHWORK MINI BUCKET BAG - Denim Blue | ZARA United States,0.00019340423585332439,0.00019340423585332439
name_PUFF SLEEVE KNIT JUMPER - Yellow | ZARA United States,-0.0001855977701136304,0.0001855977701136304
US_on_sale_True,0.00018452484874007514,0.00018452484874007514
US_on_sale_False,-0.0001845248487400749,0.0001845248487400749
colour_from_title_White,0.00018399374857148453,0.00018399374857148453
colour_from_title_Washed green,-0.0001796551070186562,0.0001796551070186562
colour_from_title_Ecru / Blue,0.00017763934883487467,0.00017763934883487467
name_WIDE LEG RAISED TEXT PLUSH PANTS - Dark pink | ZARA United States,-0.00017222930341944287,0.00017222930341944287
Source File_comparison_tops,-0.00017100029306686305,0.00017100029306686305
colour_from_title_Sandy Brown,0.00016784660113165545,0.00016784660113165545
colour_from_title_Green,0.00016095688769199128,0.00016095688769199128
colour_from_title_Tobacco,-0.0001601646386765225,0.0001601646386765225
name_ZW COLLECTION PINSTRIPE BLAZER DRESS - Gray | ZARA United States,0.00015835469885501784,0.00015835469885501784
"materials_text_Composition: 91% polyester, 9% elastane | 91% polyester | 91% RCS-certified recycled polyester",0.00015747789312040662,0.00015747789312040662
materials_text_56% polyester | 44% cotton | 100% cotton,-0.00015588063464372365,0.00015588063464372365
colour_from_title_Multicolored,0.00015296483436485483,0.00015296483436485483
colour_from_title_Light beige,0.00014560310326248532,0.00014560310326248532
colour_from_title_taupe brown,-0.00014441902391321149,0.00014441902391321149
name_FLOWY BELTED TRENCH COAT ZW COLLECTION - Ecru | ZARA United States,0.00014436067554199664,0.00014436067554199664
materials_text_100% polyester | 85% polyester | 100% RCS-certified recycled polyester | 85% RCS-certified recycled polyester,-0.00014288096522112987,0.00014288096522112987
colour_from_title_Ecru / Black,-0.00013751602186911938,0.00013751602186911938
name_PLEATED WIDE LEG PANTS ZW COLLECTION - Brown-Blue | ZARA United Classic,0.00013004644097143632,0.00013004644097143632
materials_text_Composition: 100% cotton,0.00012895862877772838,0.00012895862877772838
colour_from_title_Denim Blue,-0.000125069731836461,0.000125069731836461
materials_text_Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,0.00012482426874452652,0.00012482426874452652
materials_text_100% cotton | 100% polyester | 100% OCS certified organically grown cotton | 100% RCS-certified recycled polyester,-0.00011970509768423431,0.00011970509768423431
name_Classic Skirt,-0.00011694395813980935,0.00011694395813980935
colour_from_title_Chocolate brown,0.00011648039186590225,0.00011648039186590225
exchange_rate,0.00011638006122875099,0.00011638006122875099
made_in_India,-0.00011458471485447955,0.00011458471485447955
"materials_text_Composition: 65% polyester, 35% cotton | 65% polyester | 35% cotton | 65% RCS-certified recycled polyester | 35% OCS certified organically grown cotton",-0.00011315253593936102,0.00011315253593936102
materials_text_100% cotton | 100% OCS certified organically grown cotton,0.0001125154941421914,0.0001125154941421914
materials_text_14% polyester | 14% RCS-certified recycled polyester,0.00011131056468394772,0.00011131056468394772
colour_from_title_Black,0.00010724218537544155,0.00010724218537544155
colour_from_title_Pink,-0.00010718668755674979,0.00010718668755674979
"materials_text_Composition: 61% polyester, 39% cotton, 0% viscose | 61% polyester | 39% cotton",-0.00010694120497866524,0.00010694120497866524
colour_from_title_Khaki,0.00010491329307914986,0.00010491329307914986
name_PATCHWORK Printed HANDLE MINI BUCKET BAG - Multi-color | ZARA United States,0.00010373141981951575,0.00010373141981951575
name_ZW COLLECTION DOUBLE BREASTED BLAZER WITH SHOULDER PADS - Ecru | ZARA United States,0.00010223348023604613,0.00010223348023604613
