feature,coefficient,abs_coefficient
cat__materials_text_70% polyester | 65% cotton | 35% polyester | 70% RCS-certified recycled polyester | 35% RCS-certified recycled polyester | 65% RCS-certified recycled cotton,2.4102052180065496,2.4102052180065496
cat__materials_text_100% SILK GEOMETRIC JACQUARD TIE | 100% silk (mulberry) | / 100% SILK GEOMETRIC JACQUARD TIE,-1.7303744462073718,1.7303744462073718
cat__materials_text_55% polyester | 100% polyester | 55% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,-1.6178017565192244,1.6178017565192244
cat__Source File_comparison_shoesl797.html,1.5807338148371948,1.5807338148371948
cat__materials_text_40% polyester | 100% polyester,-1.4372216461828282,1.4372216461828282
cat__materials_text_26% polyester | 100% polyester | 26% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,-1.3606184799153946,1.3606184799153946
cat__materials_text_76% polyester | 100% polyester | 76% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,-1.2897686207818282,1.2897686207818282
cat__colour_from_title_Brown Stripes,1.1625477040887373,1.1625477040887373
cat__made_in_Vietnam,-1.137519229126214,1.137519229126214
cat__materials_text_86% cotton | 86% RCS-certified recycled cotton,1.1130059902826286,1.1130059902826286
cat__materials_text_16% polyester | 16% RCS-certified recycled polyester,-0.9927308285419498,0.9927308285419498
cat__Source File_comparison_shoes,-0.87005788605763,0.87005788605763
cat__colour_from_title_Bone White,-0.8040693022591247,0.8040693022591247
cat__materials_text_38% cotton | 20% polyester | 65% cotton | 35% polyester,-0.8040693022591247,0.8040693022591247
cat__materials_text_100% polyester,0.7785886422281137,0.7785886422281137
"cat__materials_text_Relaxed fit pants made from a cotton and 8% hemp blend fabric. Waist with front pleats. Front pockets and back welt pockets. Washed effect. Front zip and button closure. | Composition: 92% cotton, 8% hemp | 92% cotton | 20% RCS-certified recycled cotton | 72% OCS certified organically grown cotton",0.7627829318069428,0.7627829318069428
cat__colour_from_title_Burgundy Red,0.7506438617555736,0.7506438617555736
cat__colour_from_title_white,-0.727400762321725,0.727400762321725
cat__made_in_Pakistan,0.5604842487938139,0.5604842487938139
cat__Source File_comparison_bags,-0.5151130245118574,0.5151130245118574
cat__colour_from_title_Midnight blue,-0.4473693582266803,0.4473693582266803
"cat__materials_text_Composition: 68% polyester, 24% viscose, 8% elastane | 68% polyester | 68% RCS-certified recycled polyester",0.443047725120707,0.443047725120707
"cat__materials_text_COMPOSITION: 84% POLYESTER, 16% ELASTANE | 84% polyester | 84% RCS-certified recycled polyester",-0.43459133346075723,0.43459133346075723
cat__colour_from_title_Dark tan,-0.40387948754749037,0.40387948754749037
cat__materials_text_Composition: 100% cotton | 100% cotton | 100% RCS-certified recycled cotton,0.3997039844639132,0.3997039844639132
cat__materials_text_100% POLYESTER | 100% polyester | 100% RCS-certified recycled polyester,-0.3524216236420294,0.3524216236420294
cat__materials_text_50% wool | 50% polyester | 45% polyester | 35% polyester | 50% RWS certified wool | 50% RCS-certified recycled polyester,0.34455266637312176,0.34455266637312176
cat__materials_text_100% cotton | 65% cotton | 35% polyester,-0.34275712014700765,0.34275712014700765
cat__colour_from_title_Off White,-0.34275712014700765,0.34275712014700765
cat__materials_text_95% polyester | 100% polyester | 100% RCS-certified recycled polyester | 95% RCS-certified recycled polyester,0.3334761446191631,0.3334761446191631
cat__colour_from_title_Greenish,0.3264979964560317,0.3264979964560317
