Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,time,Source File
1341484,FLORAL PRINT DRESS - Ecru | ZARA United States,GENERAL,Ecru,49.9,,100.0,True,2950.0,31.69,,100.0,,True,18.21,100% cotton | 100% OCS certified organically grown cotton,Morocco,2026-04-04,93.1,16:03:53,kids2_girldresses
1187492,FLOWER APPLIQUÉ DRESS - Pastel yellow | ZARA United States,GENERAL,Pastel yellow,49.9,,75.0,True,10950.0,117.62,2950.0,100.0,,True,-67.72,75% polyester | 100% cotton | 75% RCS-certified recycled polyester | 100% OCS certified organically grown cotton,Morocco,2026-04-04,93.1,16:03:53,kids2_girldresses
9001766,EMBROIDERED TULLE DRESS - Blue / White | ZARA United States,GENERAL,Blue / White,49.9,,100.0,True,2950.0,31.69,,100.0,,True,18.21,100% polyester | 100% RCS-certified recycled polyester,Morocco,2026-04-04,93.1,16:03:53,kids2_girldresses
1343459,FLORAL PRINT ORGANZA DRESS - Ecru / Blue | ZARA United States,GENERAL,Ecru / Blue,49.9,,100.0,True,2950.0,31.69,,100.0,,True,18.21,100% polyester | 100% cotton | 100% OCS certified organically grown cotton | 100% RCS-certified recycled polyester,Morocco,2026-04-04,93.1,16:03:53,kids2_girldresses
1342297,BOW DRESS - Dusty pink | ZARA United States,GENERAL,Dusty pink,49.9,,100.0,True,2950.0,31.69,,100.0,,True,18.21,100% polyester | 100% cotton | 100% RCS-certified recycled polyester | 100% OCS certified organically grown cotton,Morocco,2026-04-04,93.1,16:03:53,kids2_girldresses
3153631,EMBROIDERED FLORAL RUFFLED DRESS - White | ZARA United States,GENERAL,White,45.9,,100.0,True,2550.0,27.39,,100.0,,True,18.51,100% cotton | 69% polyester | 100% OCS certified organically grown cotton | 69% RCS-certified recycled polyester,China,2026-04-04,93.1,16:03:53,kids2_girldresses
3153650,FRINGED DRESS - Pink | ZARA United States,GENERAL,Pink,39.9,,100.0,True,2350.0,25.24,,100.0,,True,14.66,100% polyester | 100% RCS-certified recycled polyester,Cambodia,2026-04-04,93.1,16:03:53,kids2_girldresses
8741630,RUFFLED DRESS - Ecru | ZARA United States,GENERAL,Ecru,49.9,,100.0,True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,China,2026-04-04,93.1,16:03:53,kids2_girldresses
1141283,FLORAL PRINT DRESS - Blue / Green | ZARA United States,GENERAL,Blue / Green,49.9,,100.0,True,3550.0,38.13,,100.0,,True,11.77,100% linen | 100% cotton | 100% OCS certified organically grown cotton,Morocco,2026-04-04,93.1,16:03:53,kids2_girldresses
3153617,JEWELED FLORAL ROMANTIC DRESS - Ecru | ZARA United States,MAN,Ecru,55.9,,100.0,True,,,,,,,,100% polyester | 100% cotton | 100% RCS-certified recycled polyester | 100% OCS certified organically grown cotton,China,2026-04-04,93.1,16:03:53,kids2_girldresses
1180396,ROMANTIC EMBROIDERED LAYERED DRESS - White | ZARA United States,MAN,White,49.9,,100.0,True,,,,,,,,100% cotton | 100% OCS certified organically grown cotton,Morocco,2026-04-04,93.1,16:03:53,kids2_girldresses
1384396,BOW HALTER NECK DRESS - White | ZARA United States,GENERAL,White,45.9,,100.0,True,2550.0,27.39,,100.0,,True,18.51,100% cotton | 100% OCS certified organically grown cotton,Morocco,2026-04-04,93.1,16:03:53,kids2_girldresses
