Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,time
00935605,BASIC ZIP SWEATSHIRT - Ecru | ZARA United States,GENERAL,Ecru,25.9,,"
60",True,1950.0,20.97,5550.0,-33,64.86,True,4.93,60% cotton | 40% polyester | 97% cotton | 30% OCS certified organically grown cotton | 40% RCS-certified recycled polyester | 67% OCS certified organically grown cotton,Pakistan,2026-04-07,93.01,10:04:54
04174611,BASIC INTERLOCK T-SHIRT - Ecru | ZARA United States,GENERAL,Ecru,15.9,, 72,True,850.0,9.14,, 72,,True,6.76,"Composition: 72% polyester, 28% cotton | 72% polyester | 28% cotton | 72% RCS-certified recycled polyester",Bangladesh,2026-04-07,93.01,10:04:54
00962609,POLYAMIDE BODYSUIT - White | ZARA United States,GENERAL,White,17.9,, 93,True,950.0,10.21,, 93,,True,7.69,,Turkey,2026-04-07,93.01,10:04:54
06045602,WIDE LEG JEANS - Gray marl | ZARA United States,GENERAL,Gray marl,39.9,, 100,True,2350.0,25.27,, 100,,True,14.63,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Egypt,2026-04-07,93.01,10:04:54
00935602,BARREL JOGGING PANTS - Sand / Marl | ZARA United States,GENERAL,Sand / Marl,22.9,, 80,True,,,,,,,,"Composition: 80% cotton, 20% polyester | 80% cotton | 20% polyester | 40% OCS certified organically grown cotton | 20% RCS-certified recycled polyester",Pakistan,2026-04-07,93.01,10:04:54
04174612,INTERLOCK WIDE LEG PANTS - Ecru | ZARA United States,GENERAL,Ecru,22.9,, 72,True,1350.0,14.51,, 72,,True,8.39,"Composition: 72% polyester, 28% cotton | 72% polyester | 28% cotton | 72% RCS-certified recycled polyester",Bangladesh,2026-04-07,93.01,10:04:54
05048600,BASIC WASHED EFFECT T-SHIRT - Light beige | ZARA United States,GENERAL,Light beige,12.9,, 100,True,650.0,6.99,, 100,,True,5.91,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Bangladesh,2026-04-07,93.01,10:04:54
04174608,PLAIN INTERLOCK T-SHIRT - White | ZARA United States,GENERAL,White,14.9,, 95,True,750.0,8.06,, 95,,True,6.84,"Composition: 95% cotton, 5% elastane | 95% cotton",Bangladesh,2026-04-07,93.01,10:04:54
03198601,MODAL T-SHIRT WITH CUT OUTS AND BOWS - White | ZARA United States,GENERAL,White,14.9,, 49,True,750.0,8.06,, 49,,True,6.84,"Composition: 49% cotton, 49% modal, 2% elastane | 49% cotton",Turkey,2026-04-07,93.01,10:04:54
08741615,STRIPED SHIRT PACK WITH CONTRAST RIB T-SHIRT - Blue | ZARA United States,GENERAL,Blue,35.9,, 100,True,1950.0,20.97,, 100,,True,14.93,Composition: 100% cotton | 100% cotton,China,2026-04-07,93.01,10:04:54
