Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,time
12724720,STRAPPY SANDALS - Sea green | ZARA United States,GENERAL,Sea green,55.9,,"
100",True,,,,,,,,,China,2026-04-04,93.1,15:02:07
12225720,RETRO STYLE SNEAKERS - White | ZARA United States,GENERAL,White,59.9,,"
100",True,,,,,,,,60% cotton | 40% polyester | 40% RCS-certified recycled polyester | 60% RCS-certified recycled cotton,China,2026-04-04,93.1,15:02:07
12635720,LEATHER LOAFERS - Black | ZARA United States,GENERAL,Black,79.9,,"
100",True,,,,,,,,100% polyester,China,2026-04-04,93.1,15:02:07
12445720,LEATHER BOAT SHOES - Beige | ZARA United States,GENERAL,Beige,99.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,China,2026-04-04,93.1,15:02:07
12457620,LEATHER RAISED SEAM SHOES - Beige | ZARA United States,GENERAL,Beige,79.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,China,2026-04-04,93.1,15:02:07
12473720,LEATHER SHOES - Blue | ZARA United States,GENERAL,Blue,109.0,,"
100",True,7550.0,81.1,,"
100",,True,27.9,100% polyester,India,2026-04-04,93.1,15:02:07
12693720,LEATHER TRACK PENNY LOAFERS - Taupe Gray | ZARA United States,GENERAL,Taupe Gray,99.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,China,2026-04-04,93.1,15:02:07
12727720,LEATHER CLOGS - Brown | ZARA United States,GENERAL,Brown,89.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,China,2026-04-04,93.1,15:02:07
12772720,CONTRAST STRAP SANDALS - Green | ZARA United States,GENERAL,Green,69.9,,"
98",True,,,,,,,,98% polyester | 98% RCS-certified recycled polyester,China,2026-04-04,93.1,15:02:07
12732720,BUCKLED SANDALS - Black | ZARA United States,GENERAL,Black,59.9,,"
100",True,,,,,,,,,China,2026-04-04,93.1,15:02:07
12711720,FABRIC ESPADRILLES - Blue | ZARA United States,GENERAL,Blue,55.9,,"
90",True,,,,,,,,90% cotton | 65% cotton | 35% polyester | 90% OCS certified organically grown cotton | 65% RCS-certified recycled cotton | 35% RCS-certified recycled polyester,Bangladesh,2026-04-04,93.1,15:02:07
12740720,KNIT FABRIC ESPADRILLES - Ecru | ZARA United States,GENERAL,Ecru,59.9,,"
95",True,,,,,,,,95% polyester | 5% cotton | 70% polyester | 30% cotton,,2026-04-04,93.1,15:02:07
12377720,LEATHER SNEAKERS - Taupe Gray | ZARA United States,GENERAL,Taupe Gray,109.0,,"
100",True,,,,,,,,65% polyester | 65% cotton | 35% polyester,China,2026-04-04,93.1,15:02:07
12481720,LEATHER CLOGS - Gray | ZARA United States,GENERAL,Gray,109.0,,"
100",True,,,,,,,,100% polyester,China,2026-04-04,93.1,15:02:07
12069720,DENIM COWBOY BOOTS - Black | ZARA United States,GENERAL,Black,99.9,,"
90",True,,,,,,,,90% cotton | 10% polyester | 77% polyester | 23% cotton | 65% cotton | 35% polyester | 90% RCS-certified recycled cotton | 10% RCS-certified recycled polyester,China,2026-04-04,93.1,15:02:07
12393720,CHUNKY SOLE SNEAKERS - Bone White | ZARA United States,GENERAL,Bone White,69.9,,"
52",True,,,,,,,,48% polyester | 100% polyester | 67% polyester | 48% RCS-certified recycled polyester | 100% RCS-certified recycled polyester | 67% RCS-certified recycled polyester,China,2026-04-04,93.1,15:02:07
12692720,LEATHER LOAFERS - Brown | ZARA United States,GENERAL,Brown,179.0,,"
100",True,11950.0,128.36,,"
100",,True,50.64,12% polyester | 12% RCS-certified recycled polyester,Portugal,2026-04-04,93.1,15:02:07
12493720,LEATHER SHOES - Burgundy Red | ZARA United States,GENERAL,Burgundy Red,179.0,,"
100",True,11950.0,128.36,,"
100",,True,50.64,16% polyester | 16% RCS-certified recycled polyester,Portugal,2026-04-04,93.1,15:02:07
12492720,LEATHER SHOES - Blue | ZARA United States,GENERAL,Blue,179.0,,"
100",True,11950.0,128.36,,"
100",,True,50.64,15% polyester | 15% RCS-certified recycled polyester,Portugal,2026-04-04,93.1,15:02:07
12798720,CRISSCROSS LEATHER SANDALS - Green | ZARA United States,GENERAL,Green,149.0,,"
100",True,9550.0,102.58,,"
100",,True,46.42,,China,2026-04-04,93.1,15:02:07
12715720,BUCKLED STRAP SANDALS - Black | ZARA United States,GENERAL,Black,59.9,,"
100",True,,,,,,,,,China,2026-04-04,93.1,15:02:07
12703720,DOUBLE STRAP SANDALS - Black | ZARA United States,GENERAL,Black,55.9,,"
100",True,,,,,,,,,Laos,2026-04-04,93.1,15:02:07
12613720,CASUAL LEATHER LOAFERS - Off White | ZARA United States,GENERAL,Off White,99.9,,"
100",True,,,,,,,,100% polyester,Laos,2026-04-04,93.1,15:02:07
12629720,DRESS PENNY LOAFERS - Black | ZARA United States,GENERAL,Black,69.9,,"
100",True,3950.0,42.43,,"
100",,True,27.47,100% polyester,China,2026-04-04,93.1,15:02:07
12215520,MONOCHROME CHUNKY SNEAKERS - White | ZARA United States,GENERAL,White,59.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,China,2026-04-04,93.1,15:02:07
12200520,BASIC SNEAKERS - White | ZARA United States,GENERAL,White,55.9,,"
100",True,,,,,,,,76% polyester | 100% polyester | 76% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,Vietnam,2026-04-04,93.1,15:02:07
12624620,CASUAL LEATHER LOAFERS - Off White | ZARA United States,GENERAL,Off White,99.9,,"
100",True,2950.0,31.69,7550.0,-40,60.93,True,68.21,100% polyester,,2026-04-04,93.1,15:02:07
12614720,CASUAL LEATHER LOAFERS - Beige | ZARA United States,GENERAL,Beige,99.9,,"
100",True,5950.0,63.91,,"
100",,True,35.99,100% polyester,Bangladesh,2026-04-04,93.1,15:02:07
12008620,CHUNKY CHELSEA BOOTS - Black | ZARA United States,GENERAL,Black,99.9,,"
75",True,,,,,,,,17% polyester | 85% polyester,,2026-04-04,93.1,15:02:07
12682620,LEATHER PENNY LOAFERS - Burgundy Red | ZARA United States,GENERAL,Burgundy Red,169.0,,"
100",True,10950.0,117.62,,"
100",,True,51.38,,,2026-04-04,93.1,15:02:07
12705720,CRISSCROSS SANDALS - Black | ZARA United States,GENERAL,Black,55.9,,"
100",True,2850.0,30.61,,"
100",,True,25.29,100% polyester,,2026-04-04,93.1,15:02:07
12243720,CHUNKY SNEAKERS - White | ZARA United States,GENERAL,White,59.9,,"
100",True,,,,,,,,55% polyester | 60% cotton | 40% polyester | 55% RCS-certified recycled polyester | 60% RCS-certified recycled cotton | 40% RCS-certified recycled polyester,China,2026-04-04,93.1,15:02:07
12248620,HEEL DETAIL SNEAKERS - Khaki Green | ZARA United States,GENERAL,Khaki Green,59.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,Vietnam,2026-04-04,93.1,15:02:07
12208720,CHUNKY SNEAKERS - White | ZARA United States,GENERAL,White,69.9,,"
100",True,,,,,,,,49% cotton | 26% polyester | 65% cotton | 35% polyester | 49% RCS-certified recycled cotton | 26% RCS-certified recycled polyester | 65% RCS-certified recycled cotton | 35% RCS-certified recycled polyester,China,2026-04-04,93.1,15:02:07
12726720,EMBOSSED STRAP SANDALS - Black | ZARA United States,GENERAL,Black,55.9,,"
100",True,,,,,,,,,China,2026-04-04,93.1,15:02:07
12725720,STRAPPY SANDALS - Burgundy Red | ZARA United States,GENERAL,Burgundy Red,55.9,,"
100",True,,,,,,,,,China,2026-04-04,93.1,15:02:07
12754720,LEATHER STRAP SANDALS - Beige | ZARA United States,GENERAL,Beige,59.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,China,2026-04-04,93.1,15:02:07
12737720,STRAPPY SANDALS - Black | ZARA United States,GENERAL,Black,49.9,,"
100",True,,,,,,,,,China,2026-04-04,93.1,15:02:07
