Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate
04313023,FLOWY RELAXED FIT PANTS - Printed | ZARA United States,GENERAL,Printed,129.0,,"
100",True,7550.0,80.65,,"
100",,True,48.35,95% polyester,Morocco,2026-03-22,93.62
07147436,RELAXED FIT TEXTURED PANTS - Light beige | ZARA United States,GENERAL,Light beige,69.9,, 78,True,3950.0,42.19,, 78,,True,27.71,"Composition: 78% cotton, 22% polyester | 78% cotton | 22% polyester",Bangladesh,2026-03-22,93.62
04344033,CONTRAST EMBROIDERED LINEN-COTTON PANTS - Green / Blue | ZARA United States,GENERAL,Green / Blue,149.0,, 55,True,8550.0,91.33,, 55,,True,57.67,"Composition: 55% linen, 45% cotton | 55% linen | 45% cotton | 45% RCS-certified recycled cotton",China,2026-03-22,93.62
04027204,RELAXED FIT FLOWY PANTS - Mink brown | ZARA United States,GENERAL,Mink brown,59.9,, 72,True,2950.0,31.51,, 72,,True,28.39,"Composition: 72% lyocell, 28% polyester | 28% polyester",Cambodia,2026-03-22,93.62
04315013,FLOWY DRAWSTRING PANTS - Dark navy | ZARA United States,GENERAL,Dark navy,119.0,, 8,True,6550.0,69.96,, 8,,True,49.04,"Relaxed fit cropped pants made of flowy fabric with a viscose and 8% linen blend. Adjustable waist with interior drawstring. Front pleats. Side pockets and back double welt pockets with button. Adjustable hem with side drawstrings. Front crisscross drawstring closure. | Composition: 92% viscose, 8% linen",,2026-03-22,93.62
04312014,RELAXED FIT WRAP PANTS - Taupe gray | ZARA United States,GENERAL,Taupe gray,129.0,, 14,True,7550.0,80.65,, 14,,True,48.35,"Relaxed fit pants made of flowing fabric with a viscose and 14% linen blend. Front pockets and back buttoned welt pockets. Front wrap closure with zipper, button, and tab. | Composition: 86% viscose, 14% linen | 14% linen",Morocco,2026-03-22,93.62
04322032,LINEN - LYOCELL PLEATED SUIT PANTS - Black | ZARA United States,GENERAL,Black,149.0,, 61,True,8550.0,91.33,, 61,,True,57.67,"Composition: 61% linen, 39% lyocell | 61% linen",Morocco,2026-03-22,93.62
05585001,BALLOON FIT JEANS - Blue | ZARA United States,GENERAL,Blue,129.0,, 100,True,7550.0,80.65,, 100,,True,48.35,Composition: 100% cotton | 100% cotton,Turkey,2026-03-22,93.62
04060430,RELAXED FIT WRAP CLOSURE PANTS - Light gray | ZARA United States,GENERAL,Light gray,59.9,, 100,True,,,,,,,,Composition: 100% cotton | 100% cotton | 25% RCS-certified recycled cotton | 75% OCS certified organically grown cotton,Pakistan,2026-03-22,93.62
00706950,RELAXED FIT PLEATED PANTS - Black | ZARA United States,GENERAL,Black,79.9,, 64,True,4350.0,46.46,, 64,,True,33.44,"Composition: 64% polyester, 34% viscose, 2% elastane | 64% polyester | 64% RCS-certified recycled polyester",Turkey,2026-03-22,93.62
05070902,100% LINEN RELAXED FIT PANTS - Light beige | ZARA United States,GENERAL,Light beige,79.9,,"
100",True,4350.0,46.46,,"
100",,True,33.44,100% LINEN RELAXED FIT PANTS | Composition: 100% linen | / 100% LINEN RELAXED FIT PANTS | 100% linen,Bangladesh,2026-03-22,93.62
