Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate
12724720,STRAPPY SANDALS - Sea green | ZARA United States,GENERAL,Sea green,55.9,,"
100",True,,,,,,,,,China,2026-03-22,93.62
12225720,RETRO STYLE SNEAKERS - White | ZARA United States,GENERAL,White,59.9,,"
100",True,1050.0,11.22,7550.0,-40,86.09,True,48.68,60% cotton | 40% polyester,China,2026-03-22,93.62
12635720,LEATHER LOAFERS - Black | ZARA United States,GENERAL,Black,79.9,,"
100",True,,,,,,,,100% polyester,China,2026-03-22,93.62
12445720,LEATHER BOAT SHOES - Beige | ZARA United States,GENERAL,Beige,99.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,China,2026-03-22,93.62
12457620,LEATHER RAISED SEAM SHOES - Beige | ZARA United States,GENERAL,Beige,79.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,China,2026-03-22,93.62
12473720,LEATHER SHOES - Blue | ZARA United States,GENERAL,Blue,109.0,,"
100",True,7550.0,80.65,,"
100",,True,28.35,100% polyester,India,2026-03-22,93.62
12693720,LEATHER TRACK PENNY LOAFERS - Taupe Gray | ZARA United States,GENERAL,Taupe Gray,99.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,China,2026-03-22,93.62
12727720,LEATHER CLOGS - Brown | ZARA United States,GENERAL,Brown,89.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,China,2026-03-22,93.62
12772720,CONTRAST STRAP SANDALS - Green | ZARA United States,GENERAL,Green,69.9,,"
98",True,,,,,,,,98% polyester | 98% RCS-certified recycled polyester,China,2026-03-22,93.62
12732720,BUCKLED SANDALS - Black | ZARA United States,GENERAL,Black,59.9,,"
100",True,,,,,,,,,China,2026-03-22,93.62
12711720,FABRIC ESPADRILLES - Ecru | ZARA United States,GENERAL,Ecru,55.9,,"
90",True,,,,,,,,90% cotton | 65% cotton | 35% polyester | 90% OCS certified organically grown cotton | 65% RCS-certified recycled cotton | 35% RCS-certified recycled polyester,Bangladesh,2026-03-22,93.62
12740720,KNIT FABRIC ESPADRILLES - Ecru | ZARA United States,GENERAL,Ecru,59.9,,"
95",True,,,,,,,,95% polyester | 5% cotton | 70% polyester | 30% cotton | 5% RCS-certified recycled cotton | 95% RCS-certified recycled polyester | 30% RCS-certified recycled cotton | 70% RCS-certified recycled polyester,Bangladesh,2026-03-22,93.62
12377720,LEATHER SNEAKERS - Taupe Gray | ZARA United States,GENERAL,Taupe Gray,109.0,,"
100",True,,,,,,,,65% polyester | 65% cotton | 35% polyester,China,2026-03-22,93.62
12481720,LEATHER CLOGS - Gray | ZARA United States,GENERAL,Gray,109.0,,"
100",True,,,,,,,,100% polyester,China,2026-03-22,93.62
12069720,DENIM COWBOY BOOTS - Black | ZARA United States,GENERAL,Black,99.9,,"
90",True,,,,,,,,90% cotton | 10% polyester | 77% polyester | 23% cotton | 65% cotton | 35% polyester,,2026-03-22,93.62
12393720,CHUNKY SOLE SNEAKERS - Bone White | ZARA United States,GENERAL,Bone White,69.9,,"
52",True,,,,,,,,48% polyester | 100% polyester | 67% polyester | 48% RCS-certified recycled polyester | 100% RCS-certified recycled polyester | 67% RCS-certified recycled polyester,China,2026-03-22,93.62
12692720,LEATHER LOAFERS - Brown | ZARA United States,GENERAL,Brown,179.0,,"
100",True,11950.0,127.64,,"
100",,True,51.36,12% polyester | 12% RCS-certified recycled polyester,Portugal,2026-03-22,93.62
12493720,LEATHER SHOES - Burgundy Red | ZARA United States,GENERAL,Burgundy Red,179.0,,"
100",True,11950.0,127.64,,"
100",,True,51.36,16% polyester | 16% RCS-certified recycled polyester,Portugal,2026-03-22,93.62
12492720,LEATHER SHOES - Blue | ZARA United States,GENERAL,Blue,179.0,,"
100",True,11950.0,127.64,,"
100",,True,51.36,15% polyester | 15% RCS-certified recycled polyester,Portugal,2026-03-22,93.62
12798720,CRISSCROSS LEATHER SANDALS - Green | ZARA United States,GENERAL,Green,149.0,,"
100",True,9550.0,102.01,,"
100",,True,46.99,,China,2026-03-22,93.62
12715720,BUCKLED STRAP SANDALS - Black | ZARA United States,GENERAL,Black,59.9,,"
100",True,,,,,,,,,,2026-03-22,93.62
12703720,DOUBLE STRAP SANDALS - Black | ZARA United States,GENERAL,Black,55.9,,"
100",True,,,,,,,,,,2026-03-22,93.62
12629720,DRESS PENNY LOAFERS - Black | ZARA United States,GENERAL,Black,69.9,,"
100",True,3950.0,42.19,,"
100",,True,27.71,100% polyester,China,2026-03-22,93.62
12613720,CASUAL LEATHER LOAFERS - Off White | ZARA United States,GENERAL,Off White,99.9,,"
100",True,,,,,,,,100% polyester,,2026-03-22,93.62
12215520,MONOCHROME CHUNKY SNEAKERS - White | ZARA United States,GENERAL,White,59.9,,"
100",True,,,,,,,,100% polyester | 100% RCS-certified recycled polyester,China,2026-03-22,93.62
