Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,time
01255452,PLEATED WIDE LEG PANTS - Oyster-white | ZARA United States,GENERAL,Oyster-white,59.9,, 52,True,2950.0,31.57,, 52,,True,28.33,"Composition: 52% linen, 48% viscose | 52% linen",Cambodia,2026-04-02,93.43,09:32:34
01478029,PLEATED CULOTTE PANTS - Burgundy | ZARA United States,GENERAL,Burgundy,49.9,, 90,True,2550.0,27.29,, 90,,True,22.61,"Composition: 90% modal, 10% polyester | 10% polyester",Turkey,2026-04-02,93.43,09:32:34
03666078,PLEATED BALLOON PANTS - taupe brown | ZARA United States,GENERAL,taupe brown,59.9,,"
100",True,2950.0,31.57,,"
100",,True,28.33,100% cotton | 100% OCS certified organically grown cotton,Turkey,2026-04-02,93.43,09:32:34
04661408,PLEATED BALLOON PANTS - Chocolate brown | ZARA United States,GENERAL,Chocolate brown,59.9,, 62,True,2950.0,31.57,, 62,,True,28.33,"Composition: 62% polyester, 32% viscose, 6% elastane | 62% polyester | 62% RCS-certified recycled polyester",Turkey,2026-04-02,93.43,09:32:34
02173608,PLEATED WIDE LEG PANTS - Oyster-white | ZARA United States,GENERAL,Oyster-white,59.9,, 74,True,2950.0,31.57,, 74,,True,28.33,"Composition: 74% polyester, 19% viscose, 7% elastane | 74% polyester | 74% RCS-certified recycled polyester",Spain,2026-04-02,93.43,09:32:34
02180413,PINSTRIPE STRAIGHT LEG PANTS - Sand | ZARA United States,GENERAL,Sand,59.9,,"
64",True,2950.0,31.57,,"
64",,True,28.33,64% polyester | 65% polyester | 35% cotton | 64% RCS-certified recycled polyester | 35% OCS certified organically grown cotton | 65% RCS-certified recycled polyester,Turkey,2026-04-02,93.43,09:32:34
04365235,PLEATED BALLOON PANTS - Washed green | ZARA United States,GENERAL,Washed green,69.9,, 100,True,3950.0,42.28,, 100,,True,27.62,Composition: 100% cotton | 100% cotton | 20% RCS-certified recycled cotton | 65% OCS certified organically grown cotton,Bangladesh,2026-04-02,93.43,09:32:34
08372026,PIN TUCK STRAIGHT LEG PANTS - Khaki | ZARA United States,GENERAL,Khaki,49.9,, 70,True,2550.0,27.29,, 70,,True,22.61,"Composition: 70% viscose, 30% polyester | 30% polyester",Cambodia,2026-04-02,93.43,09:32:34
02397582,PINSTRIPE PANTS - Navy blue | ZARA United States,GENERAL,Navy blue,59.9,, 62,True,2950.0,31.57,, 62,,True,28.33,"Composition: 62% polyester, 33% viscose, 5% elastane | 62% polyester | 62% RCS-certified recycled polyester",Morocco,2026-04-02,93.43,09:32:34
02392874,BELTED PAPERBAG PANTS - Midnight blue | ZARA United States,GENERAL,Midnight blue,69.9,, 100,True,3950.0,42.28,, 100,,True,27.62,Composition: 100% cotton | 100% cotton | 100% RCS-certified recycled cotton,Morocco,2026-04-02,93.43,09:32:34
05644039,POLKA DOT CAPRI PANTS - Yellow | ZARA United States,GENERAL,Yellow,29.9,, 95,True,1650.0,17.66,, 95,,True,12.24,"Composition: 95% cotton, 5% elastane | 95% cotton",Morocco,2026-04-02,93.43,09:32:34
03644325,STRETCH FLARE PANTS - Black | ZARA United States,GENERAL,Black,39.9,, 88,True,2050.0,21.94,, 88,,True,17.96,"Composition: 88% polyester, 12% elastane | 88% polyester",Turkey,2026-04-02,93.43,09:32:34
07484054,PLEATED CUFFED HEM PANTS - Light camel | ZARA United States,GENERAL,Light camel,59.9,, 100,True,2950.0,31.57,, 100,,True,28.33,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Turkey,2026-04-02,93.43,09:32:34
04344043,PLEATED LINEN PANTS ZW COLLECTION - Ecru | ZARA United States,GENERAL,Ecru,89.9,, 52,True,4950.0,52.98,, 52,,True,36.92,"Composition: 52% linen, 48% cotton | 52% linen | 48% cotton | 48% RCS-certified recycled cotton",Cambodia,2026-04-02,93.43,09:32:34
02544517,POPLIN PLEATED PANTS - White | ZARA United States,GENERAL,White,49.9,, 65,True,2950.0,31.57,, 65,,True,18.33,"Composition: 65% polyester, 35% cotton | 65% polyester | 35% cotton | 35% OCS certified organically grown cotton | 65% RCS-certified recycled polyester",Morocco,2026-04-02,93.43,09:32:34
01608037,PLEATED STRAIGHT LEG PANTS - Dark orange | ZARA United States,GENERAL,Dark orange,59.9,, 63,True,2950.0,31.57,, 63,,True,28.33,"Composition: 63% viscose, 29% polyester, 8% polyamide | 29% polyester",Turkey,2026-04-02,93.43,09:32:34
02351098,PLEATED VOLUME PANTS ZW COLLECTION - Brown | ZARA United States,GENERAL,Brown,99.9,, 100,True,5550.0,59.4,, 100,,True,40.5,Composition: 100% polyester | 100% polyester | 100% RCS-certified recycled polyester,Morocco,2026-04-02,93.43,09:32:34
08372100,PLEATED BARREL PANTS - Khaki | ZARA United States,GENERAL,Khaki,59.9,, 100,True,2950.0,31.57,, 100,,True,28.33,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Cambodia,2026-04-02,93.43,09:32:34
01165043,POLKA DOT CULOTTES WITH BELT - Black / White | ZARA United States,GENERAL,Black / White,59.9,, 100,True,2950.0,31.57,, 100,,True,28.33,,Turkey,2026-04-02,93.43,09:32:34
01608034,POLKA DOT WIDE LEG PANTS - Brown / Ecru | ZARA United States,GENERAL,Brown / Ecru,49.9,,"
100",True,2950.0,31.57,,"
100",,True,18.33,,Turkey,2026-04-02,93.43,09:32:34
04001042,PATCHWORK PANTS - THE ITEM ZARA WOMAN - Ecru | ZARA United States,WOMAN,Ecru,119.0,, 100,True,6550.0,70.11,, 100,,True,48.89,Composition: 100% cotton | 100% cotton,Turkey,2026-04-02,93.43,09:32:34
