Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate
2507041,GINGHAM CHECK SHIRT DRESS ZW COLLECTION - Green | ZARA United States,GENERAL,Green,99.9,,100,TRUE,5550,59.04,,100,,TRUE,40.86,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Turkey,3/22/26,94.01
5919040,ZW COLLECTION SATIN LACE DRESS - Brown | ZARA United States,GENERAL,Brown,99.9,,"
100",TRUE,5550,59.04,,"
100",,TRUE,40.86,100% polyester | 100% RCS-certified recycled polyester,China,3/22/26,94.01
2100090,ZW COLLECTION COMBINATION MIDI SKIRT - Ecru | ZARA United States,GENERAL,Ecru,99.9,,"
86",TRUE,5550,59.04,,"
86",,TRUE,40.86,14% polyester | 31% polyester | 31% RCS-certified recycled polyester,Morocco,3/22/26,94.01
2700776,ZW COLLECTION DOUBLE BREASTED BLAZER WITH SHOULDER PADS - Ecru | ZARA United States,GENERAL,Ecru,179,,"
60",TRUE,10950,116.48,,"
60",,TRUE,62.52,,Morocco,3/22/26,94.01
2244090,FLOWY BELTED TRENCH COAT ZW COLLECTION - Ecru | ZARA United States,GENERAL,Ecru,179,,"
86",TRUE,10950,116.48,,"
86",,TRUE,62.52,14% polyester | 14% RCS-certified recycled polyester,Morocco,3/22/26,94.01
9942075,Z1975 LOW RISE WIDE LEG JEANS - Light blue | ZARA United States,GENERAL,Light blue,35.94,59.9,-40,TRUE,1950,20.74,2950,-33,33.9,TRUE,15.2,Composition: 100% cotton,,3/22/26,94.01
8490300,PLEATED WIDE LEG PANTS ZW COLLECTION - Brown-Blue | ZARA United States,GENERAL,Brown-Blue,79.9,,63,TRUE,4350,46.27,,63,,TRUE,33.63,"Composition: 63% polyester, 34% viscose, 3% elastane | 63% polyester | 63% RCS-certified recycled polyester",Morocco,3/22/26,94.01
2090098,SATIN EFFECT BOW JUMPSUIT ZW COLLECTION - Ivory | ZARA United States,GENERAL,Ivory,99.9,,100,TRUE,5550,59.04,,100,,TRUE,40.86,Composition: 100% polyester | 100% polyester | 100% RCS-certified recycled polyester,Morocco,3/22/26,94.01
4387072,LINEN BLEND POLO COLLAR BLOUSE - White | ZARA United States,GENERAL,White,49.9,,55,TRUE,2550,27.12,,55,,TRUE,22.78,"Composition: 55% linen, 45% viscose | 55% linen",Morocco,3/22/26,94.01
1500201,ZW COLLECTION SATIN EFFECT LACE BODYSUIT - Oyster-white | ZARA United States,GENERAL,Oyster-white,79.9,,"
93",TRUE,4350,46.27,,"
93",,TRUE,33.63,93% polyester | 100% polyester | 100% cotton,China,3/22/26,94.01
3090110,REGULAR FIT 100% LINEN SHIRT - Light beige | ZARA United States,GENERAL,Light beige,69.9,,100,TRUE,3950,42.02,,"
100",,TRUE,27.88,REGULAR FIT 100% LINEN SHIRT | Composition: 100% linen | / REGULAR FIT 100% LINEN SHIRT | 100% linen,Bangladesh,3/22/26,94.01
5070904,100% LINEN RELAXED FIT SHIRT - Light beige | ZARA United States,GENERAL,Light beige,69.9,,"
100",TRUE,3950,42.02,,"
100",,TRUE,27.88,100% LINEN RELAXED FIT SHIRT | Composition: 100% linen | / 100% LINEN RELAXED FIT SHIRT | 100% linen,Bangladesh,3/22/26,94.01
5644562,100% LINEN SHIRT - Light beige | ZARA United States,GENERAL,Light beige,25.9,,"
100",TRUE,1550,16.49,,"
100",,TRUE,9.41,100% LINEN SHIRT | Shirt with a Mandarin collar and long sleeves adjustable with a button. Front button closure. Patch pocket on the chest. Made from 100% linen fabric. | Composition: 100% linen | / 100% LINEN SHIRT | 100% linen | 100% certified European grown linen,Bangladesh,3/22/26,94.01
1880506,WIDE LEG RAISED TEXT PLUSH PANTS - Dark pink | ZARA United States,GENERAL,Dark pink,15.9,,96,TRUE,,,,,,,,"Composition: 96% cotton, 4% elastane | 96% cotton | 96% OCS certified organically grown cotton",Pakistan,3/22/26,94.01
