Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate
05755037,KNIT POLO JACKET WITH INTERIOR TOP - Beige | ZARA United States,GENERAL,Beige,49.9,, 56,True,2950.0,31.51,, 56,,True,18.39,"Composition: 56% acrylic, 36% cotton, 8% polyamide | 36% cotton | 36% RCS-certified recycled cotton",China,2026-03-22,93.62
04331003,POINTELLE KNIT CROP TOP - Ecru | ZARA United States,GENERAL,Ecru,45.9,, 60,True,2350.0,25.1,, 60,,True,20.8,"Composition: 60% polyester, 40% cotton | 60% polyester | 40% cotton",Turkey,2026-03-22,93.62
06427003,POINTELLE CARDIGAN - Ecru | ZARA United States,GENERAL,Ecru,49.9,, 51,True,2550.0,27.24,, 51,,True,22.66,"Composition: 51% polyester, 49% cotton, 0% viscose | 51% polyester | 49% cotton | 51% RCS-certified recycled polyester | 49% RCS-certified recycled cotton",Turkey,2026-03-22,93.62
06236028,POINTELLE KNIT TOP - Ecru | ZARA United States,GENERAL,Ecru,49.9,,"
56",True,2950.0,31.51,,"
56",,True,18.39,56% polyester | 44% cotton | 100% cotton,Turkey,2026-03-22,93.62
06427009,KNIT POLO SWEATER - Black | ZARA United States,GENERAL,Black,59.9,, 100,True,2950.0,31.51,, 100,,True,28.39,Composition: 100% polyester | 100% polyester | 100% RCS-certified recycled polyester,Turkey,2026-03-22,93.62
09598021,POLKA DOT KNIT TOP - Brown / Ecru | ZARA United States,GENERAL,Brown / Ecru,49.9,, 52,True,2550.0,27.24,, 52,,True,22.66,"Composition: 52% polyester, 48% cellulose paste | 52% polyester | 52% RCS-certified recycled polyester",China,2026-03-22,93.62
02142201,POINTELLE KNIT TOP - Black | ZARA United States,GENERAL,Black,45.9,, 59,True,2350.0,25.1,, 59,,True,20.8,"Composition: 59% polyester, 41% viscose | 59% polyester | 59% RCS-certified recycled polyester",China,2026-03-22,93.62
06771016,POINTELLE KNIT CARDIGAN - Pink | ZARA United States,GENERAL,Pink,59.9,, 62,True,2950.0,31.51,, 62,,True,28.39,"Composition: 62% polyester, 38% cotton, 0% viscose | 62% polyester | 38% cotton",Turkey,2026-03-22,93.62
06236006,PUFF SLEEVE KNIT JUMPER - Yellow | ZARA United States,GENERAL,Yellow,49.9,, 55,True,2550.0,27.24,, 55,,True,22.66,"Composition: 55% polyester, 45% cotton, 0% viscose | 55% polyester | 45% cotton",Turkey,2026-03-22,93.62
06236008,SHORT SLEEVE POINTELLE CARDIGAN - Ecru | ZARA United States,GENERAL,Ecru,49.9,, 61,True,2550.0,27.24,, 61,,True,22.66,"Composition: 61% polyester, 39% cotton, 0% viscose | 61% polyester | 39% cotton",Turkey,2026-03-22,93.62
02142016,PUFF SLEEVE KNIT TOP - Ecru | ZARA United States,GENERAL,Ecru,49.9,, 100,True,2550.0,27.24,, 100,,True,22.66,Composition: 100% polyester | 100% polyester | 100% RCS-certified recycled polyester,China,2026-03-22,93.62
04192009,PUFF SHORT SLEEVE KNIT TOP - Pink | ZARA United States,GENERAL,Pink,49.9,, 50,True,2550.0,27.24,, 50,,True,22.66,"Composition: 50% polyester, 34% viscose, 16% polyamide | 50% polyester | 50% RCS-certified recycled polyester",China,2026-03-22,93.62
03456008,PUFFY KNIT JUMPER - Blue / Indigo | ZARA United States,GENERAL,Blue / Indigo,49.9,, 76,True,2550.0,27.24,, 76,,True,22.66,"Composition: 76% cotton, 24% polyester | 76% cotton | 24% polyester | 24% RCS-certified recycled polyester | 76% RCS-certified recycled cotton",China,2026-03-22,93.62
04192025,GOLD BUTTON PEPLUM CARDIGAN - Navy blue | ZARA United States,GENERAL,Navy blue,69.9,, 100,True,3950.0,42.19,, 100,,True,27.71,Composition: 100% cotton | 100% cotton | 100% RCS-certified recycled cotton,China,2026-03-22,93.62
00014003,PUFF SLEEVE RIB KNIT TOP - Ecru | ZARA United States,GENERAL,Ecru,49.9,, 51,True,2550.0,27.24,, 51,,True,22.66,"Composition: 51% polyamide, 49% polyester | 49% polyester | 49% RCS-certified recycled polyester",China,2026-03-22,93.62
