Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in
02507041,GINGHAM CHECK SHIRT DRESS ZW COLLECTION - Green | ZARA United States,GENERAL,Green,99.9,, 100,True,5550.0,66.87,, 100,,True,33.03,Composition: 100% cotton,
05919040,ZW COLLECTION SATIN LACE DRESS - Brown | ZARA United States,GENERAL,Brown,99.9,,"
100",True,5550.0,66.87,,"
100",,True,33.03,100% polyester,
02100090,ZW COLLECTION COMBINATION MIDI SKIRT - Ecru | ZARA United States,GENERAL,Ecru,99.9,,"
86",True,5550.0,66.87,,"
86",,True,33.03,14% polyester | 31% polyester,
02700776,ZW COLLECTION DOUBLE BREASTED BLAZER WITH SHOULDER PADS - Ecru | ZARA United States,GENERAL,Ecru,179.0,,"
60",True,10950.0,131.93,,"
60",,True,47.07,,
02244090,FLOWY BELTED TRENCH COAT ZW COLLECTION - Ecru | ZARA United States,GENERAL,Ecru,179.0,,"
86",True,10950.0,131.93,,"
86",,True,47.07,14% polyester,
09942075,Z1975 LOW RISE WIDE LEG JEANS - Light blue | ZARA United States,GENERAL,Light blue,35.94,59.9,-40,True,1950.0,23.49,2950.0,-33,33.90,True,12.45,Composition: 100% cotton,
08490300,PLEATED WIDE LEG PANTS ZW COLLECTION - Brown-Blue | ZARA United States,GENERAL,Brown-Blue,79.9,, 63,True,4350.0,52.41,, 63,,True,27.49,"Composition: 63% polyester, 34% viscose, 3% elastane",
02090098,SATIN EFFECT BOW JUMPSUIT ZW COLLECTION - Ivory | ZARA United States,GENERAL,Ivory,99.9,, 100,True,5550.0,66.87,, 100,,True,33.03,Composition: 100% polyester,
04387072,LINEN BLEND POLO COLLAR BLOUSE - White | ZARA United States,GENERAL,White,49.9,, 55,True,2550.0,30.72,, 55,,True,19.18,"Composition: 55% linen, 45% viscose",
01500201,ZW COLLECTION SATIN EFFECT LACE BODYSUIT - Oyster-white | ZARA United States,GENERAL,Oyster-white,79.9,,"
93",True,4350.0,52.41,,"
93",,True,27.49,93% polyester | 100% polyester | 100% cotton,
0110242999,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
05853040,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
02097044,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
02162052,Search engine | ZARA United States,GENERAL,,,,,,2050.0,24.7,5550.0,,63.06,True,,,
04350640,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
05550040,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
03950040,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
05990040,Search engine | ZARA United States,GENERAL,,39.9,79.9,,True,10950.0,131.93,4350.0,"
100",,True,-92.03,,
06990040,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
07990040,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
04990040,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
07990041,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
05990050,Search engine | ZARA United States,GENERAL,,129.0,79.9,,False,13950.0,168.07,9550.0,,,False,-39.07,,
04990060,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
03090110,REGULAR FIT 100% LINEN SHIRT - Light beige | ZARA United States,GENERAL,Light beige,69.9,, 100,True,3950.0,47.59,,"
100",,True,22.31,REGULAR FIT 100% LINEN SHIRT | Composition: 100% linen | / REGULAR FIT 100% LINEN SHIRT,
05070904,100% LINEN RELAXED FIT SHIRT - Light beige | ZARA United States,GENERAL,Light beige,69.9,,"
100",True,3950.0,47.59,,"
100",,True,22.31,100% LINEN RELAXED FIT SHIRT | Composition: 100% linen | / 100% LINEN RELAXED FIT SHIRT,
04387421,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
00706401,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
02704321,Search engine | ZARA United States,GENERAL,,109.0,79.9,-40,True,,,,,,,,,
00679302,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
03046406,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
04152401,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
04433503,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
02302504,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
05644562,100% LINEN SHIRT - Light beige | ZARA United States,GENERAL,Light beige,25.9,,"
100",True,1550.0,18.67,,"
100",,True,7.23,100% LINEN SHIRT | Shirt with a Mandarin collar and long sleeves adjustable with a button. Front button closure. Patch pocket on the chest. Made from 100% linen fabric. | Composition: 100% linen | / 100% LINEN SHIRT,
01950040,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01550040,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
05431502,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01880506,WIDE LEG RAISED TEXT PLUSH PANTS - Dark pink | ZARA United States,GENERAL,Dark pink,15.9,, 96,True,,,,,,,,"Composition: 96% cotton, 4% elastane",
04433504,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
03130502,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
02302505,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01750040,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01950050,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
00950040,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01102429,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01102421,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01102422,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01102423,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01102424,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01102425,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01102426,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01102427,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01102428,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01102430,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01102431,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01102432,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01102433,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
01102434,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
16001310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
16102310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
16203310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
16304310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
16405310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
16506310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
16607310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
16708310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
16809310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
16910310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
17011310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
17112310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
17213310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
17314310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
17415310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
17516310,Search engine | ZARA United States,GENERAL,,,,,,1050.0,12.65,2950.0,-48,64.41,True,,,
17617310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
17718310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
17819310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
17920310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
18021310,Search engine | ZARA United States,GENERAL,,,,,,,,,,,,,,
