name,colour_from_title,has_static_image,price_current_inr,price_current_usd,price_original_inr,discount_pct_display,discount_pct_calc,on_sale,sale_price_usd,materials_text,made_in,currency
CAMISOLE DRESS WITH CHAIN - THE ITEM ZARA WOMAN - Burgundy | ZARA India,Burgundy,True,1910.00,21.08,9550.00,-80,86.49,True,21.08,"COMPOSITION, CARE & ORIGIN | POLYAMIDE BLEND BODYSUIT WITH LACE TRIM | 95% WOOL PLAIN KNIT POLO SHIRT | COMPOSITION
OUTER SHELL
100% viscose
LINING
100% viscose | COMPOSITION | OUTER SHELL | 100% viscose | LINING",Morocco,INR
ZW COLLECTION MID-WAIST BARREL JEANS - Brown | ZARA India,Brown,True,870.00,10.48,4350.00,-80,80.00,True,10.48,"COMPOSITION, CARE & ORIGIN | Composition: 100% cotton | Composition | COMPOSITION
OUTER SHELL
100% cotton | OUTER SHELL | 100% cotton | Which contains at least:
OUTER SHELL
20% RCS certified recycled cotton
80% OCS certified organically grown cotton | Which contains at least: | 20% RCS certified recycled cotton | 80% OCS certified organically grown cotton",Turkey,INR
HERRINGBONE WOOL BLEND BLAZER ZW COLLECTION - Light brown | ZARA India,Light brown,True,1910.00,23.01,9550.00,-80,80.00,True,23.01,"COMPOSITION, CARE & ORIGIN | OUTER SHELL
63% polyester
33% wool
4% other fibres
LINING
55% polyester
45% viscose | OUTER SHELL
63% polyester
33% wool
4% other fibres | OUTER SHELL | 63% polyester | 33% wool | LINING
55% polyester
45% viscose | LINING | 55% polyester | 45% viscose | COMPOSITION
OUTER SHELL
63% polyester
33% wool
4% other fibres
LINING
55% polyester
45% viscose | COMPOSITION | 63% polyester
33% wool
4% other fibres | 55% polyester
45% viscose | Which contains at least:
OUTER SHELL
63% RCS certified recycled polyester
33% RCS certified recycled wool | Which contains at least: | 63% RCS certified recycled polyester | 33% RCS certified recycled wool",China,INR
ZW COLLECTION LIMITED EDITION EMBROIDERED DRESS WITH BEADS - Brown | ZARA India,Brown,True,2390.00,28.80,11950.00,-80,80.00,True,28.80,"COMPOSITION, CARE & ORIGIN | OUTER SHELL
MAIN FABRIC
100% viscose
EMBROIDERY
70% polyester
30% metallised fibre
LINING
100% polyester | OUTER SHELL
MAIN FABRIC
100% viscose
EMBROIDERY
70% polyester
30% metallised fibre | OUTER SHELL | MAIN FABRIC
100% viscose | MAIN FABRIC | 100% viscose | EMBROIDERY
70% polyester
30% metallised fibre | 70% polyester | LINING
100% polyester | LINING | 100% polyester | COMPOSITION
OUTER SHELL
MAIN FABRIC
100% viscose
EMBROIDERY
70% polyester
30% metallised fibre
LINING
100% polyester | COMPOSITION | 70% polyester
30% metallised fibre | Which contains at least: | 70% RCS certified recycled polyester | 100% RCS certified recycled polyester",India,INR
ZW COLLECTION LIMITED EDITION EMBROIDERED VELVET KIMONO - Ochre | ZARA India,Ochre,True,3110.00,37.47,15550.00,-80,80.00,True,37.47,"COMPOSITION, CARE & ORIGIN | OUTER SHELL
MAIN FABRIC
100% polyester
EMBROIDERY
100% metallised fibre
LINING
100% cotton | OUTER SHELL
MAIN FABRIC
100% polyester
EMBROIDERY
100% metallised fibre | OUTER SHELL | MAIN FABRIC
100% polyester | MAIN FABRIC | 100% polyester | LINING
100% cotton | LINING | 100% cotton | COMPOSITION
OUTER SHELL
MAIN FABRIC
100% polyester
EMBROIDERY
100% metallised fibre
LINING
100% cotton | COMPOSITION | Which contains at least: | 100% RCS certified recycled polyester | 100% OCS certified organically grown cotton",India,INR
Search engine | ZARA India,,True,3550.00,42.77,4350.00,,18.39,True,42.77,,,INR
ZW COLLECTION BALLOON HIGH-WAIST JEANS - Blue | ZARA India,Blue,True,1190.00,14.34,5950.00,-80,80.00,True,14.34,"COMPOSITION, CARE & ORIGIN | Composition: 100% cotton | Composition | COMPOSITION
OUTER SHELL
100% cotton | OUTER SHELL | 100% cotton",Turkey,INR
ZW COLLECTION LIMITED EDITION SEQUIN STRAPPY TOP - Copper | ZARA India,Copper,True,2390.00,28.80,11950.00,-80,80.00,True,28.80,"COMPOSITION, CARE & ORIGIN | OUTER SHELL
100% polyester
LINING
100% viscose | OUTER SHELL
100% polyester | OUTER SHELL | 100% polyester | LINING
100% viscose | LINING | 100% viscose | COMPOSITION
OUTER SHELL
100% polyester
LINING
100% viscose | COMPOSITION | Which contains at least:
OUTER SHELL
100% RCS certified recycled polyester | Which contains at least: | 100% RCS certified recycled polyester",India,INR
FAUX FUR COLLAR FITTED BLAZER ZW COLLECTION - Grey marl | ZARA India,Grey marl,True,1910.00,23.01,9550.00,-80,80.00,True,23.01,"COMPOSITION, CARE & ORIGIN | OUTER SHELL
35% cotton
34% polyester
30% viscose
1% other fibres
LINING
100% viscose | OUTER SHELL
35% cotton
34% polyester
30% viscose
1% other fibres | OUTER SHELL | 35% cotton | 34% polyester | 30% viscose | LINING
100% viscose | LINING | 100% viscose | COMPOSITION
OUTER SHELL
35% cotton
34% polyester
30% viscose
1% other fibres
LINING
100% viscose | COMPOSITION | 35% cotton
34% polyester
30% viscose
1% other fibres | Which contains at least:
OUTER SHELL
34% RCS certified recycled polyester
35% RCS certified recycled cotton | Which contains at least: | 34% RCS certified recycled polyester | 35% RCS certified recycled cotton",Morocco,INR
ZW COLLECTION STRIPED BALLOON TROUSERS - brown vigore | ZARA India,brown vigore,True,1190.00,14.34,5950.00,-80,80.00,True,14.34,"COMPOSITION, CARE & ORIGIN | OUTER SHELL
100% cotton
LINING
100% polyester | OUTER SHELL
100% cotton | OUTER SHELL | 100% cotton | LINING
100% polyester | LINING | 100% polyester | COMPOSITION
OUTER SHELL
100% cotton
LINING
100% polyester | COMPOSITION",Morocco,INR
