name,colour_from_title,price_current_inr,price_current_usd,price_original_inr,discount_pct_display,discount_pct_calc,on_sale,materials_text,made_in,currency
CAMISOLE DRESS WITH CHAIN - THE ITEM ZARA WOMAN - Burgundy | ZARA India,Burgundy,1910.00,12.65,9550.00,-80,80,True,95% WOOL PLAIN KNIT POLO SHIRT | 100% viscose,Morocco,INR
ZW COLLECTION MID-WAIST BARREL JEANS - Brown | ZARA India,Brown,870.00,10.48,4350.00,-80,80.00,True,Composition: 100% cotton | 100% cotton | 20% RCS certified recycled cotton | 80% OCS certified organically grown cotton,Turkey,INR
HERRINGBONE WOOL BLEND BLAZER ZW COLLECTION - Light brown | ZARA India,Light brown,1910.00,23.01,9550.00,-80,80.00,True,63% polyester | 33% wool | 55% polyester | 45% viscose | 63% RCS certified recycled polyester | 33% RCS certified recycled wool,China,INR
ZW COLLECTION LIMITED EDITION EMBROIDERED DRESS WITH BEADS - Brown | ZARA India,Brown,2390.00,28.80,11950.00,-80,80.00,True,100% viscose | 70% polyester | 100% polyester | 70% RCS certified recycled polyester | 100% RCS certified recycled polyester,India,INR
ZW COLLECTION LIMITED EDITION EMBROIDERED VELVET KIMONO - Ochre | ZARA India,Ochre,3110.00,37.47,15550.00,-80,80.00,True,100% polyester | 100% cotton | 100% RCS certified recycled polyester | 100% OCS certified organically grown cotton,India,INR
Search engine | ZARA India,,3550.00,42.77,4350.00,,18.39,True,,,INR
ZW COLLECTION BALLOON HIGH-WAIST JEANS - Blue | ZARA India,Blue,1190.00,14.34,5950.00,-80,80.00,True,Composition: 100% cotton | 100% cotton,Turkey,INR
ZW COLLECTION LIMITED EDITION SEQUIN STRAPPY TOP - Copper | ZARA India,Copper,2390.00,28.80,11950.00,-80,80.00,True,100% polyester | 100% viscose | 100% RCS certified recycled polyester,India,INR
FAUX FUR COLLAR FITTED BLAZER ZW COLLECTION - Grey marl | ZARA India,Grey marl,1910.00,23.01,9550.00,-80,80.00,True,35% cotton | 34% polyester | 30% viscose | 100% viscose | 34% RCS certified recycled polyester | 35% RCS certified recycled cotton,Morocco,INR
ZW COLLECTION STRIPED BALLOON TROUSERS - brown vigore | ZARA India,brown vigore,1190.00,14.34,5950.00,-80,80.00,True,100% cotton | 100% polyester,Morocco,INR
ZW COLLECTION RUFFLED SHIRT - Ecru | ZARA India,Ecru,430.00,5.18,2150.00,-80,80.00,True,"Composition: 76% lyocell, 24% polyester | 24% polyester",Morocco,INR
SHORT DRESS WITH SHOULDER PADS ZW COLLECTION LIMITED EDITION - Black | ZARA India,Black,1710.00,20.60,8550.00,-80,80.00,True,68% polyester | 29% viscose | 100% viscose | 68% RCS certified recycled polyester,Morocco,INR
CONTRAST TOPSTITCH CROSSBODY BAG - Red | ZARA India,Red,970.00,11.69,1950.00,-50,50.26,True,90% polyester | 90% cotton | 10% polyester,China,INR
CHAMPION ® X ZARA TEXT RIBBED T-SHIRT - Grey marl | ZARA India,Grey marl,500.00,6.02,1250.00,-60,60.00,True,"Composition: 73% cotton, 24% polyester, 3% elastane | 73% cotton | 24% polyester | 24% RCS certified recycled polyester | 73% OCS certified organically grown cotton",Turkey,INR
TEXTURED CROSSBODY BAG - Black | ZARA India,Black,1300.00,15.66,3250.00,-60,60.00,True,100% polyester | 100% RCS certified recycled polyester,China,INR
BOX CROSSBODY BAG - Black | ZARA India,Black,1300.00,15.66,3250.00,-60,60.00,True,100% polyester | 100% RCS certified recycled polyester,China,INR
STRAIGHT-LEG TROUSERS WITH VENTS - Black | ZARA India,Black,1300.00,15.66,4350.00,-70,70.11,True,"Composition: 75% polyester, 25% viscose | 75% polyester | 25% viscose | 75% RCS certified recycled polyester",Morocco,INR
FAUX SHEARLING PUMPKIN CROSSBODY BAG - Pink | ZARA India,Pink,970.00,11.69,1950.00,-50,50.26,True,100% polyester | 100% RCS certified recycled polyester,China,INR
LEATHER LOAFERS - Sand Brown | ZARA India,Sand Brown,1420.00,17.11,3550.00,-60,60.00,True,100% polyester | 100% RCS certified recycled polyester | 58% RCS certified recycled polyester,India,INR
MICKEY MOUSE © DISNEY WATER-REPELLENT AND WINDPROOF PUFFER COAT - Anthracite grey | ZARA India,Anthracite grey,1180.00,14.22,2950.00,-60,60.00,True,100% polyester | 100% RCS certified recycled polyester,China,INR
