name,colour_from_title,price_current_local,price_current_usd,price_original_local,discount_pct_display,discount_pct_calc,on_sale,materials_text,made_in,currency
CHAIN SLIP DRESS - THE ITEM ZARA WOMAN - Burgundy | ZARA United States,Burgundy,28.80,29.80,149.00,-80,80,True,100% viscose,,USD
ZW COLLECTION MID-RISE BARREL LEG JEANS - Brown | ZARA United States,Brown,13.98,13.98,69.90,-80,80.00,True,Composition: 100% cotton | 100% cotton | 20% RCS-certified recycled cotton | 80% OCS certified organically grown cotton,,USD
HERRINGBONE WOOL BLAZER ZW COLLECTION - Light brown | ZARA United States,Light brown,29.80,29.80,149.00,-80,80.00,True,63% polyester | 33% wool | 55% polyester | 45% viscose | 63% RCS-certified recycled polyester | 33% RCS-certified recycled wool,,USD
EMBROIDERED BEADED DRESS ZW COLLECTION LIMITED EDITION - Brown | ZARA United States,Brown,35.80,35.80,179.00,-80,80.00,True,100% viscose | 70% polyester | 100% polyester | 70% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,,USD
ZW COLLECTION LIMITED EDITION EMBROIDERED VELVET KIMONO - Ocher | ZARA United States,Ocher,45.80,45.80,229.00,-80,80.00,True,100% polyester | 100% cotton | 100% RCS-certified recycled polyester | 100% OCS certified organically grown cotton,,USD
LEATHER SLINGBACK SANDALS - Black | ZARA United States,Black,22.77,22.77,75.90,-70,70.00,True,100% polyester | 100% RCS-certified recycled polyester,,USD
ZW COLLECTION HIGH-WAIST BALLOON JEANS - Blue | ZARA United States,Blue,19.98,19.98,99.90,-80,80.00,True,Composition: 100% cotton | 100% cotton,,USD
ZW COLLECTION LIMITED EDITION SEQUIN STRAP TOP - Copper | ZARA United States,Copper,35.80,35.80,179.00,-80,80.00,True,100% polyester | 100% viscose | 100% RCS-certified recycled polyester,,USD
FITTED BLAZER WITH FAUX FUR COLLAR ZW COLLECTION - Gray marl | ZARA United States,Gray marl,29.80,29.80,149.00,-80,80.00,True,35% cotton | 34% polyester | 30% viscose | 100% viscose | 34% RCS-certified recycled polyester | 35% RCS-certified recycled cotton,,USD
BALLOON STRIPED PANTS ZW COLLECTION - brown vigore | ZARA United States,brown vigore,19.98,19.98,99.90,-80,80.00,True,100% cotton | 100% polyester,,USD
ZW COLLECTION RUFFLED SHIRT - Ecru | ZARA United States,Ecru,7.18,7.18,59.90,-88,88.01,True,"Composition: 76% lyocell, 24% polyester | 24% polyester",,USD
SHORT DRESS WITH SHOULDER PADS ZW COLLECTION LIMITED EDITION - Black | ZARA United States,Black,25.80,25.80,129.00,-80,80.00,True,68% polyester | 29% viscose | 100% viscose | 68% RCS-certified recycled polyester,,USD
CONTRAST TOPSTITCH CROSSBODY BAG - Red | ZARA United States,Red,10.06,10.06,55.90,-82,82.00,True,90% polyester | 90% cotton | 10% polyester,,USD
CHAMPION ® X ZARA TEXT RIBBED T-SHIRT - Gray marl | ZARA United States,Gray marl,7.96,7.96,19.90,-60,60.00,True,"Composition: 73% cotton, 24% polyester, 3% elastane | 73% cotton | 24% polyester | 24% RCS-certified recycled polyester | 73% OCS certified organically grown cotton",,USD
TEXTURE CROSSBODY BAG - Black | ZARA United States,Black,17.97,17.97,59.90,-70,70.00,True,100% polyester | 100% RCS-certified recycled polyester,,USD
CROSSBODY BOX BAG - Black | ZARA United States,Black,17.97,17.97,59.90,-70,70.00,True,100% polyester | 100% RCS-certified recycled polyester,,USD
STRAIGHT FIT PANTS WITH VENTS - Black | ZARA United States,Black,13.98,13.98,69.90,-80,80.00,True,"Composition: 75% polyester, 25% viscose | 75% polyester | 25% viscose | 75% RCS-certified recycled polyester",,USD
FLEECE PUMPKIN CROSSBODY BAG - Pink | ZARA United States,Pink,6.58,6.58,32.90,-80,80.00,True,100% polyester | 100% RCS-certified recycled polyester,,USD
LEATHER LOAFERS - Sandy Brown | ZARA United States,Sandy Brown,22.36,22.36,55.90,-60,60.00,True,100% polyester | 100% RCS-certified recycled polyester | 58% RCS-certified recycled polyester,,USD
WATER REPELLENT AND WINDPROOF MICKEY MOUSE © DISNEY PUFFER COAT - Anthracite grey | ZARA United States,Anthracite grey,19.96,19.96,49.90,-60,60.00,True,100% polyester | 100% RCS-certified recycled polyester,,USD
