feature,coefficient,abs_coefficient
cat__materials_text_70% polyester | 65% cotton | 35% polyester | 70% RCS-certified recycled polyester | 35% RCS-certified recycled polyester | 65% RCS-certified recycled cotton,1.6245433460150844,1.6245433460150844
cat__Source File_March22_120AM,1.0795998871169867,1.0795998871169867
cat__IN_on_sale_False,-0.700714843851238,0.700714843851238
cat__IN_on_sale_True,0.7007148438512367,0.7007148438512367
cat__Source File_comparison_shoesl797.html,0.6809097129842986,0.6809097129842986
cat__materials_text_76% polyester | 100% polyester | 76% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,-0.6551743089397966,0.6551743089397966
cat__colour_from_title_Brown Stripes,0.6530958600969194,0.6530958600969194
cat__materials_text_40% polyester | 100% polyester,-0.6162228223127656,0.6162228223127656
cat__materials_text_100% SILK GEOMETRIC JACQUARD TIE | 100% silk (mulberry) | / 100% SILK GEOMETRIC JACQUARD TIE,-0.6153005463804582,0.6153005463804582
cat__made_in_Vietnam,-0.5132251528844289,0.5132251528844289
cat__materials_text_55% polyester | 100% polyester | 55% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,-0.47613746071578855,0.47613746071578855
cat__materials_text_26% polyester | 100% polyester | 26% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,-0.42221814378340167,0.42221814378340167
"cat__materials_text_Relaxed fit pants made from a cotton and 8% hemp blend fabric. Waist with front pleats. Front pockets and back welt pockets. Washed effect. Front zip and button closure. | Composition: 92% cotton, 8% hemp | 92% cotton | 20% RCS-certified recycled cotton | 72% OCS certified organically grown cotton",0.3618867366578138,0.3618867366578138
cat__materials_text_50% wool | 50% polyester | 45% polyester | 35% polyester | 50% RWS certified wool | 50% RCS-certified recycled polyester,-0.34844736364133255,0.34844736364133255
cat__materials_text_46% linen | 55% polyester | 65% cotton | 35% polyester | 35% RCS-certified recycled polyester | 65% OCS certified organically grown cotton,-0.3395082897709823,0.3395082897709823
cat__Source File_comparison_bags,-0.3270485581629324,0.3270485581629324
cat__colour_from_title_Off White,-0.3162172241382469,0.3162172241382469
cat__materials_text_100% cotton | 65% cotton | 35% polyester,-0.3162172241382469,0.3162172241382469
cat__materials_text_50% wool | 50% polyester | 54% polyester | 50% RWS certified wool | 50% RCS-certified recycled polyester,-0.28321047955029993,0.28321047955029993
"cat__materials_text_Trench coat made from 33% wool yarn. Lapel collar and adjustable long sleeves with tabs. Front pockets. Adjustable belt with ties. Front button closure. | Composition: 63% polyester, 33% wool, 4% elastane | 63% polyester | 33% wool | 33% RWS certified wool | 63% RCS-certified recycled polyester",-0.2822101712072196,0.2822101712072196
cat__colour_from_title_Greenish,0.281627140981821,0.281627140981821
cat__materials_text_38% cotton | 20% polyester | 65% cotton | 35% polyester,-0.2810252998110465,0.2810252998110465
cat__colour_from_title_Bone White,-0.2810252998110465,0.2810252998110465
