Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,Source File
30000000,RED ZARA TEMPTATION EDP 80ML (2.71 FL. OZ),GENERAL,Ecru / Black,16.58,18.16,,True,1039.63,10.94,1047.46,,,False,5.64,viscose blend,Cambodia,3/22/26,95.03,comparison_skirts
30000001,RED ZARA TEMPTATION ELIXIR PARFUM 80ML (2.7 FL. OZ).,GENERAL,Oyster-white,57.77,73.72,21.64,True,2088.69,22.18,2264.37,7.76,7.76,True,35.59,nan,Spain,3/22/26,94.17,comparison_skirts
30000002,RED ZARA TEMPTATION SUMMER EDP 80ML (2.71 FL. OZ).,GENERAL,Multi-color,37.93,48.7,22.11,True,1932.86,20.51,2364.05,18.24,18.24,True,17.42,viscose blend,Cambodia,2026-03-22,94.24,comparison_jeans
30000003,KNIT POLO JACKET WITH INTERIOR TOP - Beige,GENERAL,Beige,44.03,49.36,10.8,True,2880.74,30.41,3555.74,18.98,18.98,True,13.62,"Composition: 56% acrylic, 36% cotton, 8% polyamide | 36% cotton | 36% RCS-certified recycled cotton",China,2026-03-22,94.73,March22_1AM
30000004,POINTELLE KNIT CROP TOP - Ecru,GENERAL,Ecru,47.34,61.61,23.16,True,2140.58,22.76,2661.02,19.56,19.56,True,24.58,"Composition: 60% polyester, 40% cotton | 60% polyester | 40% cotton",Turkey,3/22/26,94.05,March22_120AM
30000005,POINTELLE CARDIGAN - Ecru,GENERAL,Ecru,60.34,67.35,10.41,True,2473.36,27.15,2835.74,12.78,12.78,True,33.19,"Composition: 51% polyester, 49% cotton, 0% viscose | 51% polyester | 49% cotton | 51% RCS-certified recycled polyester | 49% RCS-certified recycled cotton",Turkey,2026-03-22,91.1,comparison_outerwear
30000006,POINTELLE KNIT TOP - Ecru,GENERAL,Ecru,46.67,61.74,24.41,True,2545.87,27.76,2715.61,6.25,6.25,True,18.91,56% polyester | 44% cotton | 100% cotton,Turkey,3/22/26,91.71,comparison_shoes
30000007,KNIT POLO SWEATER - Black,GENERAL,Soft gold,65.15,77.06,,True,2760.37,29.8,3157.02,12.56,12.56,True,35.35,Composition: 100% polyester | 100% polyester | 100% RCS-certified recycled polyester,Turkey,2026-03-22,92.63,comparison_jeans
30000008,POLKA DOT KNIT TOP - Brown / Ecru,GENERAL,,54.55,65.91,17.24,True,2184.16,23.36,2208.77,1.11,1.11,True,31.19,"Composition: 52% polyester, 48% cellulose paste | 52% polyester | 52% RCS-certified recycled polyester",China,3/22/26,93.5,comparison_jeans
30000009,POINTELLE KNIT TOP - Black,GENERAL,Oyster-white,54.25,63.87,15.06,True,2253.86,24.44,2613.25,13.75,13.75,True,29.81,"Composition: 59% polyester, 41% viscose | 59% polyester | 59% RCS-certified recycled polyester",China,3/22/26,92.22,comparison_outerwear
