name,colour_from_title,price_current_inr,price_current_usd,price_original_inr,discount_pct_display,discount_pct_calc,on_sale,materials_text,made_in,currency
High-rise wide leg jeans with pockets - Women | MANGO India,Medium Blue,4290.00,51.69,,,,False,Composition: 100% cotton,"Bangladesh
Dye",INR
Wide leg pleated jeans - Women | MANGO India,Open Blue,3990.00,48.07,,,,False,"Composition: 100% cotton | Lining: 65% polyester, 35% cotton","Bangladesh
Dye",INR
Long printed dress - Women | MANGO India,Red,3990.00,48.07,,,,False,"Composition: 85% viscose, 15% polyamide","Cambodia
Dye",INR
Draped dress with metallic detail - Women | MANGO India,Black,7090.00,85.42,,,,False,"Composition: 94% polyester, 6% elastane","Vietnam
Dye",INR
Wide leg jeans with rhinestones - Women | MANGO India,Black denim,6290.00,75.78,,,,False,"Composition: 100% cotton | Lining: 65% polyester, 35% cotton","China
Dye",INR
Satin top with straps - Women | MANGO India,Night Blue,3990.00,48.07,,,,False,Composition: 100% polyester | Lining: 100% polyester,"China
Dye",INR
Draped neck satin top - Women | MANGO India,Brown,3290.00,39.64,,,,False,"Composition: 82% viscose, 18% polyamide","Cambodia
CARE

Machine washing max",INR
Belt shirt dress - Women | MANGO India,Red,4990.00,60.12,,,,False,100% cotton fabric. Midi design. A-line design. Shirt collar. Short sleeves. Belt loops. Adjustable belt. Front closure with buttons. | Composition: 100% cotton,"China
Dye",INR
Leggings with seam detail - Women | MANGO India,Brown,3290.00,39.64,,,,False,"100% cashmere sweater | Composition: 60% viscose, 36% polyester, 4% elastane","Cambodia
Dye",INR
Medium-knit sweater - Women | MANGO India,Grey,4190.00,50.48,,,,False,"100% cashmere sweater | Composition: 60% acrylic, 37% polyester, 3% wool","China
Dye",INR
