Product_ID,Segment,Source File,Specific_Category,US_url,IN_url,name,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_discount_pct_calc,US_on_sale,IN_price_current_inr,IN_price_original_inr,IN_price_current_usd,IN_price_original_usd,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,US_detail_selector,US_composition_selector,IN_detail_selector,IN_composition_selector,row_collected_at_local,row_collected_at_utc,fx_rate_live_usd_inr,fx_rate_timestamp_utc
17007908,Men,comparison_men_knitwear,Men_men_knitwear,https://shop.mango.com/us/en/p/men/sweaters-and-cardigans/basics/fine-knit-wool-blend-sweater_17007908,https://shop.mango.com/in/en/p/men/sweaters-and-cardigans/sweaters/fine-knit-sweater-in-wool-blend_17007908?c=07,Fine-knit wool-blend sweater - Men | MANGO USA,,99.99,,,,False,6290.0,,67.76,,,,False,32.23,"100% cotton T-shirt regular fit | 100% wool fine-knit sweater | 100% cotton cable-knit sweater | Composition: 46% wool, 39% cotton, 15% polyamide","China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:14:42.028534-04:00,2026-04-02T08:14:42.028570+00:00,92.82863,2026-04-02T08:13:00+00:00
17068277,Men,comparison_men_knitwear,Men_men_knitwear,https://shop.mango.com/us/en/p/men/sweaters-and-cardigans/polos/100-cashmere-polo-sweater_17068277,https://shop.mango.com/in/en/p/men/sweaters-and-cardigans/polos/100-cashmere-polo-sweater_17068277,100% cashmere polo sweater - Men | MANGO USA,,159.99,269.99,-41,40.74,True,16490.0,,177.6,,,,False,-17.61,100% CASHMERE POLO SWEATER | 100% cashmere. Straight design. Polo collar. Straight Silhouette. Fine Knit Structure. Buttonless collar. Long sleeves | 100% merino wool polo jumper | 100% cotton knitted polo structure | Composition: 100% cashmere,"China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:21:43.269326-04:00,2026-04-02T08:21:43.269352+00:00,92.84774,2026-04-02T08:20:00+00:00
27021289,Men,comparison_men_knitwear,Men_men_knitwear,https://shop.mango.com/us/en/p/men/sweaters-and-cardigans/100-merino-wool-v-neck-sweater_27021289,https://shop.mango.com/in/en/p/men/sweaters-and-cardigans/100-merino-wool-v-neck-sweater_27021289,100% merino wool V-neck sweater - Men | MANGO USA,,59.99,79.99,-25,25.00,True,4990.0,,53.72,,,,False,6.27,"100% MERINO WOOL V-NECK SWEATER | 100% merino wool. Straight silhouette. V-neck. Fine knit fabric. Long sleeves with elastic cuffs. Long sleeves. Ribbed collar, sleeves and hem. Straight hem. Online Exclusive | Turin 100% wool suit pants | 100% merino wool cardigan | 100% wool fine-knit sweater | 100% merino wool turtleneck sweater | Composition: 100% wool","China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:28:01.873056-04:00,2026-04-02T08:28:01.873101+00:00,92.89683,2026-04-02T08:26:00+00:00
27031254,Men,comparison_men_knitwear,Men_men_knitwear,https://shop.mango.com/us/en/p/men/sweaters-and-cardigans/sweaters/wool-blend-sweater-with-zipper_27031254,https://shop.mango.com/in/en/p/men/sweaters-and-cardigans/sweaters/wool-blend-sweater-with-zip_27031254,Wool-blend sweater with zipper - Men | MANGO USA,,79.99,99.99,-20,20.00,True,6190.0,,66.64,,,,False,13.35,"100% cotton Oxford shirt | Composition: 35% wool, 35% acrylic, 30% polyamide","China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:30:49.581857-04:00,2026-04-02T08:30:49.581891+00:00,92.89263,2026-04-02T08:29:00+00:00
27041261,Men,comparison_men_knitwear,Men_men_knitwear,https://shop.mango.com/us/en/p/men/sweaters-and-cardigans/basics/100-cotton-structured-knitted-sweater_27041261,https://shop.mango.com/in/en/p/men/sweaters-and-cardigans/basics/100-cotton-structured-knitted-sweater_27041261,100% cotton structured knitted sweater - Men | MANGO USA,,59.99,79.99,-25,25.00,True,,,,,,,False,,"100% COTTON STRUCTURED KNITTED SWEATER | Regular fit. 100% Cotton. Structured knit fabric. Round neck. Long sleeves. Ribbed neck, cuffs, and hem | 100% merino wool cardigan | 100% wool fine-knit sweater | 100% cotton cable-knit sweater | Composition: 100% cotton","Bangladesh
Dye",text=DETAILS,,,,2026-04-02T04:35:42.659383-04:00,2026-04-02T08:35:42.659413+00:00,92.87153,2026-04-02T08:34:00+00:00
27041283,Men,comparison_men_knitwear,Men_men_knitwear,https://shop.mango.com/us/en/p/men/sweaters-and-cardigans/sweaters/ribbed-sweater-with-zip-neck_27041283,https://shop.mango.com/in/en/p/men/sweaters-and-cardigans/sweaters/ribbed-sweater-with-zip-neck_27041283,Ribbed sweater with zip neck - Men | MANGO USA,,69.99,,,,False,4290.0,,46.19,,,,False,23.8,"100% merino wool zip-neck sweater | 100% merino wool turtleneck sweater | 100% wool turtleneck sweater | Composition: 50% polyester, 40% cotton, 10% viscose","Bangladesh
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:36:06.955066-04:00,2026-04-02T08:36:06.955092+00:00,92.87153,2026-04-02T08:34:00+00:00
27041284,Men,comparison_men_knitwear,Men_men_knitwear,https://shop.mango.com/us/en/p/men/sweaters-and-cardigans/basics/100-wool-fine-knit-sweater_27041284,https://shop.mango.com/in/en/p/men/sweaters-and-cardigans/basics/100-wool-fine-knit-sweater_27041284,100% wool fine-knit sweater - Men | MANGO USA,,79.99,,,,False,4990.0,,53.73,,,,False,26.26,"100% WOOL FINE-KNIT SWEATER | 100% wool. Fine knit fabric. Regular fit. Round neck. Ribbed neck, cuffs and hem | 100% merino wool turtleneck sweater | 100% wool turtleneck sweater | 100% merino wool zip-neck sweater | Regular-fit 100% cotton trench coat | Composition: 100% wool","China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:36:48.513713-04:00,2026-04-02T08:36:48.513750+00:00,92.86454,2026-04-02T08:35:00+00:00
27041285,Men,comparison_men_knitwear,Men_men_knitwear,https://shop.mango.com/us/en/p/men/sweaters-and-cardigans/sweaters/100-merino-wool-zip-neck-sweater_27041285,https://shop.mango.com/in/en/p/men/sweaters-and-cardigans/sweaters/100-merino-wool-zip-neck-sweater_27041285,100% merino wool zip-neck sweater - Men | MANGO USA,,89.99,,,,False,5290.0,,56.96,,,,False,33.03,"100% MERINO WOOL ZIP-NECK SWEATER | Regular fit. 100% merino wool. Fine knit fabric. Perkins collar with zipper closure. Long sleeves with elastic cuffs. Ribbed finish on neckline, sleeves, and hem | 100% cotton slim-fit t-shirt | 100% merino wool turtleneck sweater | 100% wool turtleneck sweater | 100% wool fine-knit sweater | Composition: 100% wool","China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:37:30.579538-04:00,2026-04-02T08:37:30.579586+00:00,92.87059,2026-04-02T08:36:00+00:00
27051250,Men,comparison_men_knitwear,Men_men_knitwear,https://shop.mango.com/us/en/p/men/sweaters-and-cardigans/basics/structured-knitted-sweater_27051250,https://shop.mango.com/in/en/p/men/sweaters-and-cardigans/basics/structured-knitted-sweater_27051250,Structured knitted sweater - Men | MANGO USA,,74.99,99.99,-25,25.00,True,6490.0,,69.94,,,,False,5.05,"100% cotton cable-knit sweater | 100% wool fine-knit sweater | Composition: 52% acrylic, 25% polyester, 14% polyamide, 5% viscose, 4% wool","China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:41:23.769548-04:00,2026-04-02T08:41:23.769571+00:00,92.79387,2026-04-02T08:39:00+00:00
27091242,Men,comparison_men_knitwear,Men_men_knitwear,https://shop.mango.com/us/en/p/men/sweaters-and-cardigans/basics/cable-knit-sweater_27091242,https://shop.mango.com/in/en/p/men/sweaters-and-cardigans/basics/cable-knit-sweater_27091242,Cable-knit sweater - Men | MANGO USA,,79.99,99.99,-20,20.00,True,6190.0,,66.7,,,,False,13.29,"100% cotton cable-knit sweater | 100% cotton structured knitted sweater | Composition: 64% acrylic, 27% polyester, 7% wool, 2% elastane","China
Dye",text=DETAILS,,text=DETAILS,,2026-04-02T04:59:48.670433-04:00,2026-04-02T08:59:48.670460+00:00,92.79808,2026-04-02T08:58:00+00:00
