name,colour_from_title,price_current_inr,price_current_usd,price_original_inr,discount_pct_display,discount_pct_calc,on_sale,made_in,currency,price_current_local,price_original_local,material_cotton,material_viscose,material_polyester,material_linen,material_wool,material_elastane,material_nylon,material_silk,material_acrylic,material_modal,num_materials
CAMISOLE DRESS WITH CHAIN - THE ITEM ZARA WOMAN - Burgundy | ZARA India,Burgundy,1910.0,12.65,9550.0,-80.0,80.0,True,Morocco,INR,,,False,True,False,False,True,False,False,False,False,False,2
CHAIN SLIP DRESS - THE ITEM ZARA WOMAN - Burgundy | ZARA United States,Burgundy,,29.8,,-80.0,80.0,True,,USD,28.8,149.0,False,True,False,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
ZW COLLECTION MID-WAIST BARREL JEANS - Brown | ZARA India,Brown,870.0,10.48,4350.0,-80.0,80.0,True,Turkey,INR,,,True,False,False,False,False,False,False,False,False,False,1
ZW COLLECTION MID-RISE BARREL LEG JEANS - Brown | ZARA United States,Brown,,13.98,,-80.0,80.0,True,,USD,13.98,69.9,True,False,False,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
HERRINGBONE WOOL BLEND BLAZER ZW COLLECTION - Light brown | ZARA India,Light brown,1910.0,23.01,9550.0,-80.0,80.0,True,China,INR,,,False,True,True,False,True,False,False,False,False,False,3
HERRINGBONE WOOL BLAZER ZW COLLECTION - Light brown | ZARA United States,Light brown,,29.8,,-80.0,80.0,True,,USD,29.8,149.0,False,True,True,False,True,False,False,False,False,False,3
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
ZW COLLECTION LIMITED EDITION EMBROIDERED DRESS WITH BEADS - Brown | ZARA India,Brown,2390.0,28.8,11950.0,-80.0,80.0,True,India,INR,,,False,True,True,False,False,False,False,False,False,False,2
EMBROIDERED BEADED DRESS ZW COLLECTION LIMITED EDITION - Brown | ZARA United States,Brown,,35.8,,-80.0,80.0,True,,USD,35.8,179.0,False,True,True,False,False,False,False,False,False,False,2
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
ZW COLLECTION LIMITED EDITION EMBROIDERED VELVET KIMONO - Ochre | ZARA India,Ochre,3110.0,37.47,15550.0,-80.0,80.0,True,India,INR,,,True,False,True,False,False,False,False,False,False,False,2
ZW COLLECTION LIMITED EDITION EMBROIDERED VELVET KIMONO - Ocher | ZARA United States,Ocher,,45.8,,-80.0,80.0,True,,USD,45.8,229.0,True,False,True,False,False,False,False,False,False,False,2
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
Search engine | ZARA India,,3550.0,42.77,4350.0,,18.39,True,,INR,,,False,False,False,False,False,False,False,False,False,False,0
LEATHER SLINGBACK SANDALS - Black | ZARA United States,Black,,22.77,,-70.0,70.0,True,,USD,22.77,75.9,False,False,True,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
ZW COLLECTION BALLOON HIGH-WAIST JEANS - Blue | ZARA India,Blue,1190.0,14.34,5950.0,-80.0,80.0,True,Turkey,INR,,,True,False,False,False,False,False,False,False,False,False,1
ZW COLLECTION HIGH-WAIST BALLOON JEANS - Blue | ZARA United States,Blue,,19.98,,-80.0,80.0,True,,USD,19.98,99.9,True,False,False,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
ZW COLLECTION LIMITED EDITION SEQUIN STRAPPY TOP - Copper | ZARA India,Copper,2390.0,28.8,11950.0,-80.0,80.0,True,India,INR,,,False,True,True,False,False,False,False,False,False,False,2
ZW COLLECTION LIMITED EDITION SEQUIN STRAP TOP - Copper | ZARA United States,Copper,,35.8,,-80.0,80.0,True,,USD,35.8,179.0,False,True,True,False,False,False,False,False,False,False,2
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
FAUX FUR COLLAR FITTED BLAZER ZW COLLECTION - Grey marl | ZARA India,Grey marl,1910.0,23.01,9550.0,-80.0,80.0,True,Morocco,INR,,,True,True,True,False,False,False,False,False,False,False,3
FITTED BLAZER WITH FAUX FUR COLLAR ZW COLLECTION - Gray marl | ZARA United States,Gray marl,,29.8,,-80.0,80.0,True,,USD,29.8,149.0,True,True,True,False,False,False,False,False,False,False,3
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
ZW COLLECTION STRIPED BALLOON TROUSERS - brown vigore | ZARA India,brown vigore,1190.0,14.34,5950.0,-80.0,80.0,True,Morocco,INR,,,True,False,True,False,False,False,False,False,False,False,2
BALLOON STRIPED PANTS ZW COLLECTION - brown vigore | ZARA United States,brown vigore,,19.98,,-80.0,80.0,True,,USD,19.98,99.9,True,False,True,False,False,False,False,False,False,False,2
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
ZW COLLECTION RUFFLED SHIRT - Ecru | ZARA India,Ecru,430.0,5.18,2150.0,-80.0,80.0,True,Morocco,INR,,,False,False,True,False,False,False,False,False,False,False,1
ZW COLLECTION RUFFLED SHIRT - Ecru | ZARA United States,Ecru,,7.18,,-88.0,88.01,True,,USD,7.18,59.9,False,False,True,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
SHORT DRESS WITH SHOULDER PADS ZW COLLECTION LIMITED EDITION - Black | ZARA India,Black,1710.0,20.6,8550.0,-80.0,80.0,True,Morocco,INR,,,False,True,True,False,False,False,False,False,False,False,2
SHORT DRESS WITH SHOULDER PADS ZW COLLECTION LIMITED EDITION - Black | ZARA United States,Black,,25.8,,-80.0,80.0,True,,USD,25.8,129.0,False,True,True,False,False,False,False,False,False,False,2
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
CONTRAST TOPSTITCH CROSSBODY BAG - Red | ZARA India,Red,970.0,11.69,1950.0,-50.0,50.26,True,China,INR,,,True,False,True,False,False,False,False,False,False,False,2
CONTRAST TOPSTITCH CROSSBODY BAG - Red | ZARA United States,Red,,10.06,,-82.0,82.0,True,,USD,10.06,55.9,True,False,True,False,False,False,False,False,False,False,2
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
CHAMPION ® X ZARA TEXT RIBBED T-SHIRT - Grey marl | ZARA India,Grey marl,500.0,6.02,1250.0,-60.0,60.0,True,Turkey,INR,,,True,False,True,False,False,True,False,False,False,False,3
CHAMPION ® X ZARA TEXT RIBBED T-SHIRT - Gray marl | ZARA United States,Gray marl,,7.96,,-60.0,60.0,True,,USD,7.96,19.9,True,False,True,False,False,True,False,False,False,False,3
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
TEXTURED CROSSBODY BAG - Black | ZARA India,Black,1300.0,15.66,3250.0,-60.0,60.0,True,China,INR,,,False,False,True,False,False,False,False,False,False,False,1
TEXTURE CROSSBODY BAG - Black | ZARA United States,Black,,17.97,,-70.0,70.0,True,,USD,17.97,59.9,False,False,True,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
BOX CROSSBODY BAG - Black | ZARA India,Black,1300.0,15.66,3250.0,-60.0,60.0,True,China,INR,,,False,False,True,False,False,False,False,False,False,False,1
CROSSBODY BOX BAG - Black | ZARA United States,Black,,17.97,,-70.0,70.0,True,,USD,17.97,59.9,False,False,True,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
STRAIGHT-LEG TROUSERS WITH VENTS - Black | ZARA India,Black,1300.0,15.66,4350.0,-70.0,70.11,True,Morocco,INR,,,False,True,True,False,False,False,False,False,False,False,2
STRAIGHT FIT PANTS WITH VENTS - Black | ZARA United States,Black,,13.98,,-80.0,80.0,True,,USD,13.98,69.9,False,True,True,False,False,False,False,False,False,False,2
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
FAUX SHEARLING PUMPKIN CROSSBODY BAG - Pink | ZARA India,Pink,970.0,11.69,1950.0,-50.0,50.26,True,China,INR,,,False,False,True,False,False,False,False,False,False,False,1
FLEECE PUMPKIN CROSSBODY BAG - Pink | ZARA United States,Pink,,6.58,,-80.0,80.0,True,,USD,6.58,32.9,False,False,True,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
LEATHER LOAFERS - Sand Brown | ZARA India,Sand Brown,1420.0,17.11,3550.0,-60.0,60.0,True,India,INR,,,False,False,True,False,False,False,False,False,False,False,1
LEATHER LOAFERS - Sandy Brown | ZARA United States,Sandy Brown,,22.36,,-60.0,60.0,True,,USD,22.36,55.9,False,False,True,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
MICKEY MOUSE © DISNEY WATER-REPELLENT AND WINDPROOF PUFFER COAT - Anthracite grey | ZARA India,Anthracite grey,1180.0,14.22,2950.0,-60.0,60.0,True,China,INR,,,False,False,True,False,False,False,False,False,False,False,1
WATER REPELLENT AND WINDPROOF MICKEY MOUSE © DISNEY PUFFER COAT - Anthracite grey | ZARA United States,Anthracite grey,,19.96,,-60.0,60.0,True,,USD,19.96,49.9,False,False,True,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
High-rise wide leg jeans with pockets - Women | MANGO India,Medium Blue,4290.0,51.69,,,,False,Bangladesh,INR,,,True,False,False,False,False,False,False,False,False,False,1
High-rise wide leg jeans with pockets - Women | MANGO USA,Medium Blue,,,,-55.0,55.01,True,Bangladesh,USD,35.99,79.99,True,False,False,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
Wide leg pleated jeans - Women | MANGO India,Open Blue,3990.0,48.07,,,,False,Bangladesh,INR,,,True,False,True,False,False,False,False,False,False,False,2
Wide leg pleated jeans - Women | MANGO USA,Open Blue,,,,-57.0,57.15,True,Bangladesh,USD,29.99,69.99,True,False,True,False,False,False,False,False,False,False,2
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
Long printed dress - Women | MANGO India,Red,3990.0,48.07,,,,False,Cambodia,INR,,,False,True,False,False,False,False,False,False,False,False,1
Long printed dress - Women | MANGO USA,Red,,,,-63.0,62.87,True,Cambodia,USD,25.99,69.99,False,True,False,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
Draped dress with metallic detail - Women | MANGO India,Black,7090.0,85.42,,,,False,Vietnam,INR,,,False,False,True,False,False,True,False,False,False,False,2
Draped dress with metallic detail - Women | MANGO USA,Black,,,,-50.0,50.0,True,Vietnam,USD,69.99,139.99,False,False,True,False,False,True,False,False,False,False,2
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
Wide leg jeans with rhinestones - Women | MANGO India,Black denim,6290.0,75.78,,,,False,China,INR,,,True,False,True,False,False,False,False,False,False,False,2
Wide leg jeans with rhinestones - Women | MANGO USA,Black denim,,,,-30.0,30.0,True,China,USD,69.99,99.99,True,False,True,False,False,False,False,False,False,False,2
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
Satin top with straps - Women | MANGO India,Night Blue,3990.0,48.07,,,,False,China,INR,,,False,False,True,False,False,False,False,False,False,False,1
Satin top with straps - Women | MANGO USA,Night Blue,,,,,,False,China,USD,69.99,,False,False,True,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
Draped neck satin top - Women | MANGO India,Brown,3290.0,39.64,,,,False,Cambodia CARE Machine washing max,INR,,,False,True,False,False,False,False,False,False,False,False,1
Draped neck satin top - Women | MANGO USA,Brown,,,,,,False,Cambodia CARE Machine washing max,USD,59.99,,False,True,False,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
Belt shirt dress - Women | MANGO India,Red,4990.0,60.12,,,,False,China,INR,,,True,False,False,False,False,False,False,False,False,False,1
Belt shirt dress - Women | MANGO USA,Red,,,,,,False,China,USD,89.99,,True,False,False,False,False,False,False,False,False,False,1
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
Leggings with seam detail - Women | MANGO India,Brown,3290.0,39.64,,,,False,Cambodia,INR,,,False,True,True,False,False,True,False,False,False,False,3
Leggings with seam detail - Women | MANGO USA,Brown,,,,,,False,Cambodia,USD,59.99,,False,True,True,False,False,True,False,False,False,False,3
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
Medium-knit sweater - Women | MANGO India,Grey,4190.0,50.48,,,,False,China,INR,,,False,False,True,False,True,False,False,False,True,False,3
Medium-knit sweater - Women | MANGO USA,Grey,,,,-43.0,42.86,True,China,USD,39.99,69.99,False,False,True,False,True,False,False,False,True,False,3
,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,0
